gene_id,gene_name,product_name,product_short,plot_label,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,tnseq_change,annotation_status,locus_tag_internal,ftype,COG,EC_number
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,12654.6422004243,-0.798452541100342,0.246313883286326,-3.24160591537662,0.00118858257914638,0.0561741441857173,Not significant,product_only,hypothetical protein,CDS,,
dacA,dacA,D-alanyl-D-alanine carboxypeptidase DacA,D-alanyl-D-alanine carboxypeptidase DacA,dacA / D-alanyl-D-alanine carboxypeptidase DacA,34635.0839108159,-0.564031229211933,0.174393093012448,-3.23425211095758,0.00121961743442809,0.0561741441857173,Not significant,gene_and_product,dacA,CDS,COG1686,3.4.16.4
ydjF,ydjF,putative HTH-type transcriptional regulator YdjF,putative HTH-type transcriptional regulator YdjF,ydjF / putative HTH-type transcriptional regulator YdjF,8015.29476252455,-0.661119605036703,0.208111374608221,-3.17675862879331,0.0014893093089918,0.0666359536537476,Not significant,gene_and_product,ydjF,CDS,COG1349,
dppE,dppE,Dipeptide-binding protein DppE,Dipeptide-binding protein DppE,dppE / Dipeptide-binding protein DppE,1688.63652768723,1.15302073588699,0.364963864616683,3.15927369165161,0.00158162882964524,0.0688008540895679,Not significant,gene_and_product,dppE,CDS,COG4166,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,3805.95529212962,2.32509637453561,0.743462225785601,3.12739005949997,0.00176365767570577,0.0708176389783392,Not significant,product_only,hypothetical protein,CDS,,
licT_4,licT_4,Transcription antiterminator LicT,Transcription antiterminator LicT,licT_4 / Transcription antiterminator LicT,3555.96933578049,1.90492953329374,0.608454647877147,3.13076667248726,0.00174350624024255,0.0708176389783392,Not significant,gene_and_product,licT_4,CDS,COG3711,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,6898.41823302477,0.800475197942481,0.255825373624176,3.12899063373764,0.00175407899465433,0.0708176389783392,Not significant,product_only,hypothetical protein,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,6234.46079237511,-1.00058757525727,0.320818476086843,-3.11885894934062,0.00181552850820068,0.0710779410960567,Not significant,product_only,hypothetical protein,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,84.2357370528254,-9.64235869863075,3.18558444995708,-3.02687272935447,0.0024709797210583,0.0943793717848122,Not significant,product_only,hypothetical protein,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,95.4571995443548,9.35015107181583,3.1099071656464,3.00656919122934,0.00264213916542889,0.0985140460252772,Not significant,product_only,hypothetical protein,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,10291.0694668867,0.521909692884447,0.174415443417496,2.99233647352637,0.00276850942318888,0.100825250156134,Not significant,product_only,hypothetical protein,CDS,,
feoB,feoB,Fe(2+) transporter FeoB,Fe(2+) transporter FeoB,feoB / Fe(2+) transporter FeoB,10192.1267552097,-0.834970994457668,0.282046319732874,-2.96040379200292,0.00307236064676131,0.109348108473368,Not significant,gene_and_product,feoB,CDS,COG0370,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,471.32806776474,2.26086497926439,0.767350346844049,2.94632691385735,0.00321572335424617,0.111907172727767,Not significant,product_only,hypothetical protein,CDS,,
yjbK,yjbK,Putative triphosphatase YjbK,Putative triphosphatase YjbK,yjbK / Putative triphosphatase YjbK,2303.78135789635,-1.14240860310675,0.391462040780695,-2.91831259252734,0.00351931352314043,0.113377420734683,Not significant,gene_and_product,yjbK,CDS,COG4116,3.6.1.-
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,4696.88733318685,-0.77111688471433,0.262863890521886,-2.93352153916374,0.00335140399551306,0.113377420734683,Not significant,product_only,hypothetical protein,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,3797.84196435339,0.765489828286989,0.262318995887103,2.91816391603008,0.0035209920628352,0.113377420734683,Not significant,product_only,hypothetical protein,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,58.4015263251441,9.9333619083713,3.40671488586518,2.91581838843804,0.00354756935887576,0.113377420734683,Not significant,product_only,hypothetical protein,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,48.4252828795574,8.44306611070539,2.92203685511396,2.88944545512111,0.00385921952349576,0.120870755475887,Not significant,product_only,hypothetical protein,CDS,,
xerC_7,xerC_7,Tyrosine recombinase XerC,Tyrosine recombinase XerC,xerC_7 / Tyrosine recombinase XerC,74.7069972806556,8.38935986332444,2.91836653932023,2.87467655289063,0.00404441581186266,0.12418735610543,Not significant,gene_and_product,xerC_7,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,64.7877194062645,-9.44871691473233,3.40753901777157,-2.77288590547424,0.00555615973519794,0.166880170731416,Not significant,product_only,hypothetical protein,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,2441.02943330372,-1.19137968477355,0.430481593934098,-2.76755081183781,0.00564792404135701,0.166880170731416,Not significant,product_only,hypothetical protein,CDS,,
Tn3 family transposase TnBth1,,Tn3 family transposase TnBth1,Tn3 family transposase TnBth1,Tn3 family transposase TnBth1,9639.5399936939,0.692154153733315,0.251467219887125,2.752462742635,0.0059148876369688,0.171531741472095,Not significant,product_only,Tn3 family transposase TnBth1,CDS,,
msr(C),msr(C),ABC-F type ribosomal protection protein Msr(C),ABC-F type ribosomal protection protein Msr(C),msr(C) / ABC-F type ribosomal protection protein Msr(C),263.715711091081,5.08970511212461,1.86093120804216,2.73503130590161,0.00623743435645138,0.172137253500696,Not significant,gene_and_product,msr(C),CDS,,
