gene_id,gene_name,product_name,product_short,plot_label,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,tnseq_change,annotation_status,locus_tag_internal,ftype,COG,EC_number
pyrK_2,pyrK_2,Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit,Dihydroorotate dehydrogenase B (NAD(+)), electron trans,pyrK_2 / Dihydroorotate dehydrogenase B (NAD(+)), electron trans,773.350729406184,-4.15675104867072,1.21181498951785,-3.43018619560448,0.000603167196885873,0.0239758960762134,Lower mutant abundance,gene_and_product,pyrK_2,CDS,COG0543,
IS30 family transposase IS1252,,IS30 family transposase IS1252,IS30 family transposase IS1252,IS30 family transposase IS1252,69.7441394793358,9.72110127292553,2.95656507832131,3.28797135033638,0.00100912108133183,0.0390357850142194,Higher mutant abundance,product_only,IS30 family transposase IS1252,CDS,COG2826,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,95.4571995443548,-10.2043951830488,3.10930334355062,-3.28189116839146,0.00103113394377183,0.0390357850142194,Lower mutant abundance,product_only,hypothetical protein,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,7945.39105307161,-0.803695158431383,0.248720428457747,-3.23131945138119,0.00123220142071716,0.0445272786122792,Not significant,product_only,hypothetical protein,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,68.9029841410141,9.02962348058989,2.7895046124643,3.23699894247995,0.00120793859390226,0.0445272786122792,Higher mutant abundance,product_only,hypothetical protein,CDS,,
malP,malP,Maltose phosphorylase,Maltose phosphorylase,malP / Maltose phosphorylase,4762.38577222473,-0.799300723963883,0.249754369099229,-3.20034731262825,0.00137262074791181,0.0477502473450169,Not significant,gene_and_product,malP,CDS,,2.4.1.8
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,771.924165369521,1.94530549416875,0.608193389455894,3.19849825383514,0.00138145369677407,0.0477502473450169,Higher mutant abundance,product_only,hypothetical protein,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,48.4252828795574,-9.18431199904928,2.92096555103048,-3.144272617597,0.00166500249381885,0.056326680110042,Not significant,product_only,hypothetical protein,CDS,,
pyk,pyk,Pyruvate kinase,Pyruvate kinase,pyk / Pyruvate kinase,54.5906299565018,9.71803631639418,3.09819657785136,3.13667518254564,0.00170875320112306,0.0566024497872014,Not significant,gene_and_product,pyk,CDS,COG0469,2.7.1.40
murA1_1,murA1_1,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,murA1_1 / UDP-N-acetylglucosamine 1-carboxyvinyltransferase,3157.85584644295,1.39002264903173,0.444326820876295,3.12837889526982,0.00175773429936392,0.0570366844079312,Not significant,gene_and_product,murA1_1,CDS,,2.5.1.7
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,2380.51300777386,1.07531507080002,0.345263699464483,3.11447474051827,0.00184272733867595,0.0574497346763678,Not significant,product_only,hypothetical protein,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,73.4566142331922,-8.71643960841069,2.79654047894398,-3.11686516753091,0.00182785149920845,0.0574497346763678,Not significant,product_only,hypothetical protein,CDS,,
misCA,misCA,Membrane protein insertase MisCA,Membrane protein insertase MisCA,misCA / Membrane protein insertase MisCA,410.909904375819,-2.67013046551475,0.867760967483549,-3.07703453551035,0.00209071076759593,0.0639275023168756,Not significant,gene_and_product,misCA,CDS,COG0706,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,1538.2251505483,1.56246594609959,0.516097105849848,3.02746504173223,0.00246614237034908,0.0739842711104723,Not significant,product_only,hypothetical protein,CDS,,
recQ_1,recQ_1,ATP-dependent DNA helicase RecQ,ATP-dependent DNA helicase RecQ,recQ_1 / ATP-dependent DNA helicase RecQ,87.1744965502295,9.49499666648691,3.16681742677119,2.9982772565982,0.00271510545807765,0.0767925613797693,Not significant,gene_and_product,recQ_1,CDS,COG0514,3.6.4.12
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,88.0563345731523,-10.7227845746011,3.58135563317456,-2.99405746675213,0.00275294087965211,0.0767925613797693,Not significant,product_only,hypothetical protein,CDS,,
npr_1,npr_1,NADH peroxidase,NADH peroxidase,npr_1 / NADH peroxidase,67.720564776925,-9.98602854391832,3.3255469178821,-3.00282293123622,0.00267488014260092,0.0767925613797693,Not significant,gene_and_product,npr_1,CDS,COG0446,1.11.1.1
pemK,pemK,Endoribonuclease PemK,Endoribonuclease PemK,pemK / Endoribonuclease PemK,2177.84309037489,-1.36744432156987,0.454664047463703,-3.00759281319475,0.00263325701685213,0.0767925613797693,Not significant,gene_and_product,pemK,CDS,,3.1.-.-
ycaM,ycaM,Inner membrane transporter YcaM,Inner membrane transporter YcaM,ycaM / Inner membrane transporter YcaM,10175.443764771,0.807800795598652,0.273948340312633,2.94873403750787,0.00319078441621066,0.0874715038237062,Not significant,gene_and_product,ycaM,CDS,COG0531,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,84.7296106371605,10.3365473334962,3.53989718504524,2.92001343348737,0.00350016297582204,0.094326425958594,Not significant,product_only,hypothetical protein,CDS,,
bglK,bglK,Beta-glucoside kinase,Beta-glucoside kinase,bglK / Beta-glucoside kinase,9651.55380155878,-0.527157471860778,0.181259534320293,-2.90830203132526,0.00363397178843889,0.0963002523936306,Not significant,gene_and_product,bglK,CDS,COG1940,2.7.1.85
dppE,dppE,Dipeptide-binding protein DppE,Dipeptide-binding protein DppE,dppE / Dipeptide-binding protein DppE,1688.63652768723,-1.05100949209618,0.364970717890038,-2.87970908508018,0.00398042268896732,0.103752001237017,Not significant,gene_and_product,dppE,CDS,COG4166,
yqiK,yqiK,Inner membrane protein YqiK,Inner membrane protein YqiK,yqiK / Inner membrane protein YqiK,11871.4534688254,0.678480609112586,0.2385154402865,2.84459827128008,0.00444674666512217,0.114037535444262,Not significant,gene_and_product,yqiK,CDS,COG2268,
yhhT,yhhT,Putative transport protein YhhT,Putative transport protein YhhT,yhhT / Putative transport protein YhhT,5439.79588819464,0.871063855137895,0.309030405285761,2.81869952030261,0.00482186332233743,0.12169464575423,Not significant,gene_and_product,yhhT,CDS,COG0628,
bioY2,bioY2,Biotin transporter BioY2,Biotin transporter BioY2,bioY2 / Biotin transporter BioY2,1097.27324729011,-1.77435074113553,0.630736879294529,-2.81313936029889,0.0049060383750031,0.121884390878983,Not significant,gene_and_product,bioY2,CDS,COG1268,
pycA,pycA,Pyruvate carboxylase,Pyruvate carboxylase,pycA / Pyruvate carboxylase,49.8795840893737,-8.9382001597847,3.24836749775035,-2.7515975843173,0.00593053474889429,0.145070003857568,Not significant,gene_and_product,pycA,CDS,,6.4.1.1
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,50.712815939098,-9.52347857242213,3.5011273026768,-2.72011776468137,0.00652586705754892,0.157214070022769,Not significant,product_only,hypothetical protein,CDS,,
fabG_1,fabG_1,3-oxoacyl-[acyl-carrier-protein] reductase FabG,3-oxoacyl-[acyl-carrier-protein] reductase FabG,fabG_1 / 3-oxoacyl-[acyl-carrier-protein] reductase FabG,1538.23223338572,-1.46105213456704,0.542008048733545,-2.6956281147133,0.00702560548279348,0.166727055487189,Not significant,gene_and_product,fabG_1,CDS,,1.1.1.100
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,54.8383454889668,9.34060501776594,3.48745269549375,2.67834601164203,0.00739867435659926,0.172998415102836,Not significant,product_only,hypothetical protein,CDS,,
msr(C),msr(C),ABC-F type ribosomal protection protein Msr(C),ABC-F type ribosomal protection protein Msr(C),msr(C) / ABC-F type ribosomal protection protein Msr(C),263.715711091081,-4.96049202545905,1.86094144925507,-2.66558199745871,0.00768551866831474,0.177101082356818,Not significant,gene_and_product,msr(C),CDS,,
