gene_id,gene_name,product_name,product_short,plot_label,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,tnseq_change,annotation_status,locus_tag_internal,ftype,COG,EC_number
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,10168.2855790105,-0.606797708569697,0.18202583121289,-3.33358020961327,0.000857359475441881,0.0272640313190518,Not significant,product_only,hypothetical protein,CDS,,
menE,menE,2-succinylbenzoate--CoA ligase,2-succinylbenzoate--CoA ligase,menE / 2-succinylbenzoate--CoA ligase,1520.71205643381,-1.71541703610279,0.519081615870528,-3.30471545062513,0.000950728710688722,0.0296403656861778,Lower mutant abundance,gene_and_product,menE,CDS,,6.2.1.26
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,68.9029841410141,9.10970501136767,2.78974752052937,3.26542274680078,0.00109300815619644,0.0334208263144679,Higher mutant abundance,product_only,hypothetical protein,CDS,,
ycaM,ycaM,Inner membrane transporter YcaM,Inner membrane transporter YcaM,ycaM / Inner membrane transporter YcaM,10175.443764771,0.891004762101393,0.27396951589818,3.2522040241606,0.00114513790754668,0.0343541372264005,Not significant,gene_and_product,ycaM,CDS,COG0531,
Tn3 family transposase TnBth1,,Tn3 family transposase TnBth1,Tn3 family transposase TnBth1,Tn3 family transposase TnBth1,9639.5399936939,0.794638071853665,0.251513124363321,3.15942984631601,0.00158078152603005,0.0465452338219959,Not significant,product_only,Tn3 family transposase TnBth1,CDS,,
yqiK,yqiK,Inner membrane protein YqiK,Inner membrane protein YqiK,yqiK / Inner membrane protein YqiK,11871.4534688254,0.749239114510665,0.238537624147804,3.14096829457149,0.00168390260713847,0.0486800935518211,Not significant,gene_and_product,yqiK,CDS,COG2268,
carB,carB,Carbamoyl-phosphate synthase large chain,Carbamoyl-phosphate synthase large chain,carB / Carbamoyl-phosphate synthase large chain,300.5527371717,-5.06871403395699,1.63554614547247,-3.09909570450717,0.00194112305434196,0.0547835866162652,Not significant,gene_and_product,carB,CDS,COG0458,6.3.5.5
fur,fur,Ferric uptake regulation protein,Ferric uptake regulation protein,fur / Ferric uptake regulation protein,2177.54135970721,1.31119731273197,0.423563701061046,3.09563191899439,0.00196393989756423,0.0547835866162652,Not significant,gene_and_product,fur,CDS,COG0735,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,6009.27643469271,0.752427607508147,0.248988394739231,3.02193846542998,0.00251161599400227,0.0676859225502308,Not significant,product_only,hypothetical protein,CDS,,
cvfB,cvfB,Conserved virulence factor B,Conserved virulence factor B,cvfB / Conserved virulence factor B,40.4687124891227,7.40340354501858,2.44668783484667,3.02588807594351,0.00247904049454819,0.0676859225502308,Not significant,gene_and_product,cvfB,CDS,,
purD,purD,Phosphoribosylamine--glycine ligase,Phosphoribosylamine--glycine ligase,purD / Phosphoribosylamine--glycine ligase,998.571831709679,-7.56214104499428,2.53226489224067,-2.98631516322249,0.00282361474989881,0.0748257908723185,Not significant,gene_and_product,purD,CDS,COG0151,6.3.4.13
TelA-like protein,,TelA-like protein,TelA-like protein,TelA-like protein,6545.81269630162,0.693962409565878,0.23344767265344,2.97266792886852,0.00295223663910392,0.0769517419045121,Not significant,product_only,TelA-like protein,CDS,,
pycA,pycA,Pyruvate carboxylase,Pyruvate carboxylase,pycA / Pyruvate carboxylase,49.8795840893737,-9.59559026552187,3.24836749775035,-2.95397311793301,0.00313711331169634,0.0791747645332887,Not significant,gene_and_product,pycA,CDS,,6.4.1.1
