gene_id,product_name,locus_tag_internal,ERR1801012,ERR1801013,ERR1801014,ERR1801009,ERR1801010,ERR1801011,ERR1801006,ERR1801007,ERR1801008
D-aspartate ligase,D-aspartate ligase,E745S_00166,1,1,0,0,0,0,0,0,1
Aspartate racemase,Aspartate racemase,E745S_00167,0,0,0,0,0,0,0,0,0
yvcJ,Nucleotide-binding protein YvcJ,E745S_00168,0,0,0,0,0,0,0,0,0
Putative gluconeogenesis factor,Putative gluconeogenesis factor,E745S_00169,0,1,0,0,0,0,0,0,0
whiA,putative cell division protein WhiA,E745S_00170,0,0,0,0,0,0,0,1,0
hypothetical protein,hypothetical protein,E745S_00171,0,0,0,0,0,0,0,0,0
hypothetical protein,hypothetical protein,E745S_00172,12653,10392,12808,14520,19069,9076,12488,16489,7899
hypothetical protein,hypothetical protein,E745S_00173,438,468,460,552,0,451,306,722,423
IS30 family transposase IS1252,IS30 family transposase IS1252,E745S_00174,0,0,0,0,0,0,0,0,0
hypothetical protein,hypothetical protein,E745S_00175,0,0,117,0,0,0,0,0,0
hypothetical protein,hypothetical protein,E745S_00176,621,744,811,1121,1200,875,1086,528,620
hypothetical protein,hypothetical protein,E745S_00177,12873,12299,11248,10800,11843,9704,9895,15065,5934
hypothetical protein,hypothetical protein,E745S_00178,1286,760,748,1132,0,684,1065,854,810
hypothetical protein,hypothetical protein,E745S_00179,0,150,0,325,0,0,46,1,0
Pyruvate:ferredoxin oxidoreductase,Pyruvate:ferredoxin oxidoreductase,E745S_00180,2814,2242,1848,1987,808,3560,3769,2288,511
cdaA,Cyclic di-AMP synthase CdaA,E745S_00181,0,0,0,0,0,0,0,0,0
hypothetical protein,hypothetical protein,E745S_00182,0,0,0,0,0,0,0,0,0
glmM,Phosphoglucosamine mutase,E745S_00183,0,0,0,0,0,0,0,0,0
glmS,Glutamine--fructose-6-phosphate aminotransferase [isomerizing],E745S_00184,0,0,0,0,0,0,0,0,0
hypothetical protein,hypothetical protein,E745S_00185,0,0,0,0,0,0,0,0,0
sppA,Putative signal peptide peptidase SppA,E745S_00186,0,85,124,0,0,78,49,272,0
hypothetical protein,hypothetical protein,E745S_00187,3264,2721,4246,4364,1705,1583,5175,3378,2482
hypothetical protein,hypothetical protein,E745S_00188,0,0,0,0,0,0,0,0,0
tig,Trigger factor,E745S_00189,87,0,0,0,0,137,0,191,0
clpX,ATP-dependent Clp protease ATP-binding subunit ClpX,E745S_00190,0,0,0,0,0,0,1,0,0
engB,putative GTP-binding protein EngB,E745S_00191,0,0,0,0,1,0,0,0,0
hypothetical protein,hypothetical protein,E745S_00192,0,0,0,0,0,0,0,0,0
hypothetical protein,hypothetical protein,E745S_00193,1796,1595,689,2222,1444,1539,1852,2058,1387
hypothetical protein,hypothetical protein,E745S_00194,5036,5884,6187,9378,5951,4907,7149,8872,3796
glcR,HTH-type transcriptional repressor GlcR,E745S_00195,0,0,0,0,0,0,0,0,0
lacC_1,Tagatose-6-phosphate kinase,E745S_00196,105,0,265,309,0,0,51,151,0
fruA_1,PTS system fructose-specific EIIABC component,E745S_00197,3909,3663,2892,8358,4496,3667,5445,4740,2210
clcA,H(+)/Cl(-) exchange transporter ClcA,E745S_00198,2427,2249,2372,6305,2286,5526,2815,3245,1676
pcrA,ATP-dependent DNA helicase PcrA,E745S_00199,166,242,0,935,192,425,289,234,247
ligA_1,DNA ligase,E745S_00200,1,0,0,0,0,0,0,0,0
gatC_1,Glutamyl-tRNA(Gln) amidotransferase subunit C,E745S_00201,0,0,0,0,0,0,0,0,0
gatA_1,Glutamyl-tRNA(Gln) amidotransferase subunit A,E745S_00202,0,0,0,0,0,0,2,0,0
gatB,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B,E745S_00203,0,0,0,0,0,0,0,0,0
dagK_1,Diacylglycerol kinase,E745S_00204,0,0,0,0,0,0,0,0,0
putative RNA methyltransferase,putative RNA methyltransferase,E745S_00205,0,96,0,0,0,0,0,0,0
hypothetical protein,hypothetical protein,E745S_00206,0,0,0,0,0,0,0,0,0
aes_1,Acetyl esterase,E745S_00207,779,822,606,518,2352,436,1643,689,658
melR_2,HTH-type transcriptional repressor MelR,E745S_00208,70,25,76,48,0,233,100,302,0
melA,Alpha-galactosidase Mel36A,E745S_00209,4952,4194,3764,4977,4375,3531,4062,5566,3058
lacL,Beta-galactosidase large subunit,E745S_00210,0,0,196,219,0,172,0,54,0
lacM,Beta-galactosidase small subunit,E745S_00211,0,0,0,0,0,0,0,0,0
aroF,Phospho-2-dehydro-3-deoxyheptonate aldolase,E745S_00212,0,472,533,802,0,94,181,185,115
aroB,3-dehydroquinate synthase,E745S_00213,2170,2105,2998,3499,2261,2098,3433,3756,2427
aroC,Chorismate synthase,E745S_00214,0,166,0,0,0,0,0,0,0
hypothetical protein,hypothetical protein,E745S_00215,1269,1249,2092,1868,4143,2285,1348,3585,1020
aroA,3-phosphoshikimate 1-carboxyvinyltransferase,E745S_00216,1733,1558,2126,3167,7734,3584,1834,4939,2775
aroK,Shikimate kinase,E745S_00217,0,0,0,0,0,0,0,0,0
pheA,Bifunctional chorismate mutase/prephenate dehydratase,E745S_00218,1215,1012,1190,1444,699,1354,1107,1383,0
hypothetical protein,hypothetical protein,E745S_00219,0,0,258,90,0,249,0,0,0
rhaR_1,HTH-type transcriptional activator RhaR,E745S_00220,810,305,406,591,0,91,938,189,500
cheB,Protein-glutamate methylesterase/protein-glutamine glutaminase,E745S_00221,0,0,0,0,0,0,0,0,0
lacE_1,Lactose-binding protein,E745S_00222,404,0,438,521,0,481,440,619,147
lacF_1,Lactose transport system permease protein LacF,E745S_00223,101,0,243,110,0,100,397,0,385
lacG_1,Lactose transport system permease protein LacG,E745S_00224,1988,1364,2556,1074,934,1782,1445,2559,1363
umpB_1,Na(+), Li(+), K(+)/H(+) antiporter subunit B,E745S_00225,226,172,508,123,644,1043,344,457,204
umpB_2,Na(+), Li(+), K(+)/H(+) antiporter subunit B,E745S_00226,4504,2733,2973,5806,3595,3758,2864,4977,1564
hypothetical protein,hypothetical protein,E745S_00227,238,621,335,1122,1057,1058,428,1383,256
hypothetical protein,hypothetical protein,E745S_00228,0,0,0,0,0,0,0,0,0
hypothetical protein,hypothetical protein,E745S_00229,0,0,0,0,0,1,0,0,0
gpmA_1,2,3-bisphosphoglycerate-dependent phosphoglycerate mutase,E745S_00230,826,824,418,1668,674,547,624,571,413
gph_1,Phosphoglycolate phosphatase,E745S_00231,1129,544,892,1073,1723,1433,1525,1216,948
hypothetical protein,hypothetical protein,E745S_00232,0,0,0,0,0,0,0,0,0
tcyP,L-cystine uptake protein TcyP,E745S_00233,1,0,0,1,486,0,0,0,0
hypothetical protein,hypothetical protein,E745S_00234,0,0,0,0,0,0,0,0,0
hypothetical protein,hypothetical protein,E745S_00235,0,0,0,0,0,0,0,0,0
hypothetical protein,hypothetical protein,E745S_00236,659,527,451,1153,1156,1287,509,1549,406
pphA,Serine/threonine-protein phosphatase 1,E745S_00237,9698,6925,5824,7951,7831,8934,14568,8349,10498
yhgF,Protein YhgF,E745S_00238,774,297,59,954,437,529,441,186,93
Protein SprT-like protein,Protein SprT-like protein,E745S_00239,4751,3882,5141,7182,4381,5219,5913,4151,2302
ydcF,Protein YdcF,E745S_00240,595,392,223,0,509,338,204,262,0
murC,UDP-N-acetylmuramate--L-alanine ligase,E745S_00241,0,78,0,0,0,0,0,5,0
hypothetical protein,hypothetical protein,E745S_00242,0,81,0,0,0,0,0,28,0
ybhL,Inner membrane protein YbhL,E745S_00243,40,272,69,0,0,218,0,0,0
polA,DNA polymerase I,E745S_00244,0,1,1,0,0,0,0,0,0
mutM,Formamidopyrimidine-DNA glycosylase,E745S_00245,0,0,0,0,0,0,0,0,0
coaE,Dephospho-CoA kinase,E745S_00246,0,0,0,0,0,0,0,0,0
hypothetical protein,hypothetical protein,E745S_00247,0,0,0,0,0,0,0,0,0
nrdR,Transcriptional repressor NrdR,E745S_00248,0,0,0,0,0,0,0,0,0
dnaB,Replication initiation and membrane attachment protein,E745S_00249,0,0,0,0,0,0,0,0,0
dnaI_1,Primosomal protein DnaI,E745S_00250,0,0,0,0,0,0,0,0,0
dnaI_2,Primosomal protein DnaI,E745S_00251,1,1,0,0,0,2,0,2,3
hypothetical protein,hypothetical protein,E745S_00252,0,0,0,0,0,0,122,0,0
ISL3 family transposase ISEfa5,ISL3 family transposase ISEfa5,E745S_00253,0,0,0,0,0,0,0,0,0
trmK_1,tRNA (adenine(22)-N(1))-methyltransferase,E745S_00254,0,0,0,0,0,0,0,0,0
trmK_2,tRNA (adenine(22)-N(1))-methyltransferase,E745S_00255,0,0,0,0,0,0,0,0,0
GTP cyclohydrolase 1 type 2 ,GTP cyclohydrolase 1 type 2 ,E745S_00256,0,0,0,0,0,0,0,0,0
GTP cyclohydrolase 1 type 2 ,GTP cyclohydrolase 1 type 2 ,E745S_00257,163,239,181,292,1850,1192,441,417,0
pepT,Peptidase T,E745S_00258,2,266,385,721,433,36,267,431,324
dagK_2,Diacylglycerol kinase,E745S_00259,1885,2966,2592,2881,2603,3439,2380,3009,1517
hypothetical protein,hypothetical protein,E745S_00260,268,389,1061,913,3000,442,903,1257,578
hypothetical protein,hypothetical protein,E745S_00261,88,0,113,0,0,0,0,53,124
clpB,Chaperone protein ClpB,E745S_00262,0,0,0,0,0,0,0,0,0
hypothetical protein,hypothetical protein,E745S_00263,213,157,360,137,0,674,198,213,229
hypothetical protein,hypothetical protein,E745S_00264,0,0,0,0,0,0,0,0,0
eis_1,N-acetyltransferase Eis,E745S_00265,0,0,0,0,0,0,0,0,0
lepA,Elongation factor 4,E745S_00266,228,108,128,0,339,347,94,0,572
xerC_2,Tyrosine recombinase XerC,E745S_00267,718,487,526,851,0,836,465,1020,0
IS30 family transposase IS1252,IS30 family transposase IS1252,E745S_00268,0,0,0,0,0,0,0,0,0
IS256 family transposase ISEf1,IS256 family transposase ISEf1,E745S_00269,0,0,0,0,0,1,0,0,0
hypothetical protein,hypothetical protein,E745S_00270,4426,3821,5117,6693,5913,6882,7195,9103,6060
hypothetical protein,hypothetical protein,E745S_00271,8146,8344,6801,7863,7923,6129,9966,12454,8171
hypothetical protein,hypothetical protein,E745S_00272,0,0,0,0,0,0,0,0,0
fabG_1,3-oxoacyl-[acyl-carrier-protein] reductase FabG,E745S_00273,2066,1747,2565,1319,372,1213,1264,2807,842
licR_1,putative licABCH operon regulator,E745S_00274,272,889,128,141,0,378,609,109,668
hypothetical protein,hypothetical protein,E745S_00275,7263,5090,7015,11024,9628,9080,13876,5419,4063
srlA,PTS system glucitol/sorbitol-specific EIIC component,E745S_00276,0,130,0,139,0,158,125,70,0
srlE,PTS system glucitol/sorbitol-specific EIIB component,E745S_00277,4509,2579,3504,5548,5285,3675,4831,4795,2191
IS110 family transposase ISSpn10,IS110 family transposase ISSpn10,E745S_00278,0,0,0,0,0,0,0,0,0
srlB,PTS system glucitol/sorbitol-specific EIIA component,E745S_00279,1837,1873,841,2283,3875,3461,1542,2276,590
fsaA,Fructose-6-phosphate aldolase 1,E745S_00280,0,0,0,0,0,0,0,0,0
prsA_1,Foldase protein PrsA,E745S_00281,806,465,105,888,699,304,606,494,159
hypothetical protein,hypothetical protein,E745S_00282,13774,11387,16877,22675,18157,14607,16260,17808,9005
hypothetical protein,hypothetical protein,E745S_00283,8423,7428,6912,8890,6831,5201,8299,11314,7934
hypothetical protein,hypothetical protein,E745S_00284,89,103,142,0,922,246,545,223,159
hypothetical protein,hypothetical protein,E745S_00285,0,0,0,0,0,0,0,0,0
spxA_1,Regulatory protein Spx,E745S_00286,247,146,0,0,16,159,107,210,53
sttH,Streptothricin hydrolase,E745S_00287,0,0,0,0,0,0,0,0,0
hypothetical protein,hypothetical protein,E745S_00288,5687,3687,4254,3908,7389,7200,5549,5059,1806
aes_2,Acetyl esterase,E745S_00289,949,472,384,711,331,1681,1299,1691,169
hypothetical protein,hypothetical protein,E745S_00290,4888,7694,6884,5427,6179,10931,4864,3954,2275
murR_1,HTH-type transcriptional regulator MurR,E745S_00291,18794,18291,15041,24902,12156,23805,13203,21761,6499
6-phosphogluconate dehydrogenase, NAD(+)-dependent, dec,6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating,E745S_00292,0,0,0,3,0,2,0,1,2
fldH,Phenyllactate dehydrogenase,E745S_00293,1638,771,367,1934,3242,2045,1570,1573,630
hypothetical protein,hypothetical protein,E745S_00294,10230,4383,10443,13255,16850,8739,17813,8611,5314
hcxA,Hydroxycarboxylate dehydrogenase A,E745S_00295,4871,4635,5348,5035,7298,6335,7524,4664,2188
