gene_id,product_name,locus_tag_internal,ERR1801012,ERR1801013,ERR1801014,ERR1801009,ERR1801010,ERR1801011,ERR1801006,ERR1801007,ERR1801008
rhaR_1,HTH-type transcriptional activator RhaR,E745S_00220,834.783771365072,317.245041956326,432.180836062498,472.875045462455,0,77.6869141594267,823.398545893435,151.57310606011,820.458700651835
lacE_1,Lactose-binding protein,E745S_00222,416.361288433937,0,466.244350234911,416.866156829,0,410.630831985541,386.242388265577,496.421971699514,241.21485799164
lacF_1,Lactose transport system permease protein LacF,E745S_00223,104.090322108484,0,258.669810746766,88.0139678525719,0,85.3702353400294,348.495973048714,0,631.753199501913
lacG_1,Lactose transport system permease protein LacG,E745S_00224,2048.82733021452,1418.76143353583,2720.82319452154,859.336377033293,838.750529753533,1521.29759375932,1268.45511600854,2052.25173760752,2236.5704179769
umpB_1,Na(+), Li(+), K(+)/H(+) antiporter subunit B,E745S_00225,232.914978183341,178.905400709797,540.758287487066,98.415618598785,578.324776403935,890.411554596506,301.971321734906,366.502166505134,334.747149865949
umpB_2,Na(+), Li(+), K(+)/H(+) antiporter subunit B,E745S_00226,4641.81000768924,2842.72360546439,3164.7133635808,4645.53724865484,3228.38132169588,3208.2134440783,2514.08681816503,3991.42512624957,2566.39481563894
hypothetical protein,hypothetical protein,E745S_00227,245.282145166527,645.931708376651,356.602413992455,897.742472096234,949.206969967328,903.217089897511,375.708504949243,1109.13018878906,420.07485473374
gpmA_1,2,3-bisphosphoglycerate-dependent phosphoglycerate mutase,E745S_00230,851.273327342654,857.081687121354,444.954653877153,1334.61180343718,605.265371578031,466.975187309961,547.761932449364,457.927214604883,677.698886738416
gph_1,Phosphoglycolate phosphatase,E745S_00231,1163.54429366811,565.840337128661,949.520457556029,858.536250052815,1547.28818283227,1223.35547242262,1338.6810047841,975.200513063989,1555.58969643588
tcyP,L-cystine uptake protein TcyP,E745S_00233,1.03059724859885,0,0,0.800126980477927,436.437641820361,0,0,0,0
hypothetical protein,hypothetical protein,E745S_00236,679.163586826645,548.15782659339,480.082652867454,922.546408491049,1038.11093404185,1098.71492882618,446.812217334497,1242.25789040799,666.21246492929
