,ERR1801006,ERR1801007,ERR1801008,ERR1801009,ERR1801010,ERR1801011,ERR1801012,ERR1801013,ERR1801014
E745S_00530,2049,3085,1085,2218,2079,2025,1213,1385,1040
E745S_00532,1836,1573,528,2290,1527,2395,815,1454,573
E745S_00533,0,0,1,0,0,0,0,1,1
E745S_00534,1217,1013,600,2434,1836,1971,989,1198,682
E745S_00535,0,0,0,1,0,0,0,0,0
E745S_00536,854,1237,663,749,471,1045,452,772,270
E745S_00537,0,0,0,128,0,0,0,0,0
E745S_00538,153,342,0,1119,408,170,331,203,0
E745S_00539,1691,1895,1138,2009,2355,1251,1045,445,346
E745S_00540,136,251,0,337,0,243,224,216,92
E745S_00542,0,42,0,0,0,1,0,162,0
E745S_00543,3,55,1,417,9,327,764,293,7
E745S_00544,1,128,0,0,2,143,0,94,1
E745S_00545,239,0,0,0,0,0,243,0,0
E745S_00546,2369,1642,1550,1534,2956,2996,906,1425,703
E745S_00547,9,1,0,0,22,0,0,10,0
E745S_00548,0,0,0,0,0,0,0,0,0
E745S_00549,0,0,0,1,0,0,0,0,0
E745S_00550,0,2,194,261,0,0,1,0,0
E745S_00551,1524,1595,423,1373,1513,978,1497,1277,1977
E745S_00552,77,0,214,2,0,0,0,0,0
E745S_00553,0,0,0,0,0,0,0,0,0
E745S_00554,3,66,113,7,226,1,1,2,12
E745S_00555,577,1103,323,957,318,766,502,608,1091
E745S_00556,4,6,2,4,11,5,4,5,3
E745S_00557,0,0,0,0,0,0,0,0,0
E745S_00558,550,615,1033,291,564,374,263,665,407
E745S_00559,2716,1703,772,2181,4992,2622,1658,2747,1220
E745S_00560,1984,3101,1589,3691,3482,3035,3751,2485,1285
E745S_00561,0,0,0,0,0,0,0,0,0
E745S_00562,355,1794,489,880,183,513,764,314,695
E745S_00563,499,897,514,1230,922,1148,365,501,318
E745S_00564,0,16,0,1,0,84,0,1,0
E745S_00565,94,37,0,1,2,2,0,219,119
E745S_00566,1,0,1,0,2,0,224,2,204
E745S_00567,19,76,15,79,6,117,49,310,75
E745S_00568,3,0,0,0,0,0,0,0,1
E745S_00569,88,317,0,2,375,94,0,1,1
E745S_00570,26,82,2,2,1,0,176,2,0
E745S_00571,0,1,0,0,0,0,0,0,1
E745S_00572,0,0,0,0,0,0,0,0,0
E745S_00573,0,0,0,0,0,0,1,0,0
E745S_00574,14,4,2,19,75,60,4,5,10
E745S_00575,0,0,0,117,0,0,41,0,0
E745S_00576,0,0,0,0,0,0,0,1,1
E745S_00577,9305,10736,5995,5933,6179,8619,5441,4503,4566
E745S_00578,661,679,221,333,1,1107,106,266,200
E745S_00579,3089,2748,977,2529,1927,2820,3526,1966,1679
E745S_00580,4467,4531,1802,3343,3937,3017,2283,2381,2679
E745S_00581,7266,4040,3830,7419,3322,5673,3604,2447,4109
E745S_00582,448,863,715,838,374,443,85,464,232
E745S_00583,8438,10946,3056,12606,8241,8869,8106,4994,8922
E745S_00584,549,908,373,510,1772,538,186,775,470
E745S_00585,3449,1777,1791,2277,1688,1358,1775,1029,1055
E745S_00586,0,56,0,146,1,352,1938,3546,2682
E745S_00587,821,1062,802,1276,1267,1588,5161,5331,5992
E745S_00588,1,0,0,1,0,0,1,0,0
E745S_00589,0,1,0,1,1,0,0,1,0
E745S_00590,1,0,1,0,0,1,1,0,0
E745S_00591,114,2,2,459,2,356,2045,1863,1276
E745S_00592,121,43,94,386,321,182,1320,1329,1940
E745S_00593,122,43,94,161,321,101,124,885,298
E745S_00594,0,66,0,0,148,475,2832,4208,3337
E745S_00595,1,2,0,0,0,0,0,0,0
E745S_00596,1593,1211,495,1854,1371,1777,1236,2273,1255
E745S_00597,0,1,2,0,0,1,0,0,0
E745S_00598,0,1,3,0,0,0,1,1,0
E745S_00599,6765,8083,4357,10459,8177,4558,5828,6588,5012
E745S_00600,0,0,1,0,0,1,1,0,1
E745S_00601,212,91,1,220,0,2,389,229,2
E745S_00602,0,0,1,0,1,0,0,1,0
E745S_00603,2470,1800,943,2230,2160,1640,1147,1001,266
E745S_00604,172,545,0,545,360,477,85,150,0
E745S_00605,390,681,0,79,652,201,318,337,337
E745S_00606,686,1064,654,96,996,200,1045,287,539
E745S_00607,0,0,0,1,0,0,0,0,1
E745S_00608,0,0,0,0,0,0,0,0,0
E745S_00609,183,0,0,0,0,0,401,454,415
E745S_00610,3638,2275,1882,5826,9389,6768,622,859,556
E745S_00611,1156,2901,231,1992,1281,2055,1273,735,778
E745S_00612,296,629,0,235,364,370,125,277,66
E745S_00613,19574,12281,9135,14553,17048,15308,8805,6688,8491
E745S_00614,0,0,0,0,2,0,0,0,34
E745S_00615,42,3,271,2,5,257,357,0,555
E745S_00616,1,66,82,304,171,1,102,49,1
E745S_00617,0,102,0,0,1,1,0,159,1
E745S_00618,1470,1819,852,1198,2549,2023,1544,1126,818
E745S_00619,3308,5729,960,5352,4876,5090,4864,4715,4884
E745S_00620,2430,2442,467,3573,1753,2349,2110,1246,1613
E745S_00621,0,0,0,1,2,0,4,1,0
E745S_00622,326,722,626,733,725,638,201,210,880
E745S_00623,15990,11119,5585,13785,9553,11070,8607,4491,6486
E745S_00625,2803,2768,2247,3776,1588,1698,1136,2116,2085
E745S_00626,312,175,0,1,0,112,185,148,68
E745S_00627,1808,1771,983,2007,1845,1835,1264,1353,1124
E745S_00628,1407,968,750,322,911,1812,501,561,410
E745S_00629,240,1034,228,137,863,161,357,0,70
E745S_00630,3469,4606,3200,4272,3488,5892,3389,1425,1713
E745S_00631,2199,2492,503,2489,681,2703,900,1146,1725
E745S_00632,743,698,572,1054,723,339,413,750,868
E745S_00633,0,0,0,1,2,1,0,0,0
E745S_00634,0,153,0,159,2,130,51,0,398
E745S_00635,448,649,408,820,0,1056,298,436,643
E745S_00636,1096,2716,713,2329,1862,2863,1692,1947,1753
E745S_00637,15276,13446,6418,18462,13827,11984,8980,8351,10251
E745S_00638,0,0,0,1,0,0,0,0,0
E745S_00639,8,101,114,150,1,102,3,3,0
E745S_00640,131,249,0,263,828,201,79,101,405
E745S_00641,0,0,0,0,0,0,0,0,0
E745S_00642,0,0,0,78,0,0,0,0,0
E745S_00643,0,0,0,0,0,0,0,0,0
E745S_00644,12348,15172,5391,20103,11091,11653,7130,8814,7302
