feature,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ftype,gene_name,product_name,product_short,gene_only_label,gene_product_label,COG,EC_number,annotation_status,plot_label,tnseq_change
E745S_02059,8008.37407151094,-0.775683557856709,0.188611348696769,-4.11260278459584,3.91223193929682e-05,0.00267650626467755,CDS,ydjF,putative HTH-type transcriptional regulator YdjF,putative HTH-type transcriptional regulator YdjF,ydjF,ydjF / putative HTH-type transcriptional regulator YdjF,COG1349,,annotated,ydjF / putative HTH-type transcriptional regulator YdjF,Not significant
E745S_02354,3370.31678413252,1.4700828442324,0.358555540893958,4.10001429783279,4.13124614034102e-05,0.00273213078081219,CDS,NA,Putative peptidyl-prolyl cis-trans isomerase,Putative peptidyl-prolyl cis-trans isomerase,E745S_02354,Putative peptidyl-prolyl cis-trans isomerase,,5.2.1.8,annotated,Putative peptidyl-prolyl cis-trans isomerase,Higher mutant abundance
E745S_02536,3680.20512049742,1.43463236859809,0.353543229122579,4.05786973253185,4.95223767463497e-05,0.00316943211176638,CDS,clsA_2,Major cardiolipin synthase ClsA,Major cardiolipin synthase ClsA,clsA_2,clsA_2 / Major cardiolipin synthase ClsA,COG1502,2.7.8.-,annotated,clsA_2 / Major cardiolipin synthase ClsA,Higher mutant abundance
E745S_00591,686.750701816221,-5.70498406260057,1.4111738348328,-4.04272239307534,5.28341606808202e-05,0.00327571796221085,CDS,purL,Phosphoribosylformylglycinamidine synthase subunit PurL,Phosphoribosylformylglycinamidine synthase subunit PurL,purL,purL / Phosphoribosylformylglycinamidine synthase subunit PurL,COG0046,6.3.5.3,annotated,purL / Phosphoribosylformylglycinamidine synthase subunit PurL,Lower mutant abundance
E745S_01581,1704.32331828737,-2.00906853334829,0.499359661939385,-4.02328959761304,5.73908555450738e-05,0.00345040780004322,CDS,brnQ_1,Branched-chain amino acid transport system 2 carrier protein,Branched-chain amino acid transport system 2 carrier pr,brnQ_1,brnQ_1 / Branched-chain amino acid transport system 2 carrier pr,COG1114,,annotated,brnQ_1 / Branched-chain amino acid transport system 2 carrier pr,Lower mutant abundance
E745S_02734,767.983832459831,2.11697924224431,0.529994178314735,3.99434433218841,6.48735269989794e-05,0.00378556110488162,CDS,NA,hypothetical protein,hypothetical protein,E745S_02734,hypothetical protein,,,annotated,hypothetical protein,Higher mutant abundance
E745S_01447,71.9896004502354,10.1301658024835,2.55654355088931,3.96244601386106,7.41857855933573e-05,0.00411203585249852,CDS,NA,hypothetical protein,hypothetical protein,E745S_01447,hypothetical protein,,,annotated,hypothetical protein,Higher mutant abundance
E745S_02489,997.458403566251,-2.15438552484553,0.543889305602239,-3.96107351745042,7.46135537751747e-05,0.00411203585249852,CDS,rpoN1,RNA polymerase sigma-54 factor 1,RNA polymerase sigma-54 factor 1,rpoN1,rpoN1 / RNA polymerase sigma-54 factor 1,COG1508,,annotated,rpoN1 / RNA polymerase sigma-54 factor 1,Lower mutant abundance
E745S_01134,10153.2014636057,-0.624834439673149,0.164143299932039,-3.80663992945098,0.000140867604917078,0.00755354940960765,CDS,NA,hypothetical protein,hypothetical protein,E745S_01134,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_02578,3010.95195581103,1.31564173441287,0.350854164098407,3.74982505279276,0.000176957982138646,0.00923906938323876,CDS,NA,PhoH-like protein,PhoH-like protein,E745S_02578,PhoH-like protein,COG1702,,annotated,PhoH-like protein,Higher mutant abundance
E745S_00577,6571.72688547998,0.792083629260125,0.215771915103613,3.67093015270207,0.000241669381717364,0.0122941552135192,CDS,norG,HTH-type transcriptional regulator NorG,HTH-type transcriptional regulator NorG,norG,norG / HTH-type transcriptional regulator NorG,COG1167,,annotated,norG / HTH-type transcriptional regulator NorG,Not significant
E745S_00395,1520.64419079743,-1.7338817761581,0.476732594870902,-3.63701117736167,0.000275819966547531,0.0136806703407575,CDS,menE,2-succinylbenzoate--CoA ligase,2-succinylbenzoate--CoA ligase,menE,menE / 2-succinylbenzoate--CoA ligase,,6.2.1.26,annotated,menE / 2-succinylbenzoate--CoA ligase,Lower mutant abundance
E745S_00672,5071.43626185062,0.710760763077153,0.196701976975305,3.61338901624962,0.000302220748771204,0.0146245357454163,CDS,NA,hypothetical protein,hypothetical protein,E745S_00672,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_00465,9640.77304309636,0.796864040241619,0.221270904582401,3.60130511395306,0.000316623723562228,0.0149567016082729,CDS,steT_1,Serine/threonine exchanger SteT,Serine/threonine exchanger SteT,steT_1,steT_1 / Serine/threonine exchanger SteT,COG0531,,annotated,steT_1 / Serine/threonine exchanger SteT,Not significant
E745S_02130,6176.87489633311,1.30449525551209,0.366317846352967,3.56110210981951,0.000369301420439535,0.0170393957709776,CDS,yggS,Pyridoxal phosphate homeostasis protein,Pyridoxal phosphate homeostasis protein,yggS,yggS / Pyridoxal phosphate homeostasis protein,COG0325,,annotated,yggS / Pyridoxal phosphate homeostasis protein,Higher mutant abundance
E745S_03023,1713.1327117872,1.03768922885582,0.292198035665067,3.55132171403533,0.000383301579850829,0.0172834166914556,CDS,NA,IS6 family transposase IS1216E,IS6 family transposase IS1216E,E745S_03023,IS6 family transposase IS1216E,,,annotated,IS6 family transposase IS1216E,Higher mutant abundance
E745S_00586,1000.74978824716,-7.5790070673946,2.16413704865131,-3.50209201035481,0.000461620173242251,0.0203523205269472,CDS,purD,Phosphoribosylamine--glycine ligase,Phosphoribosylamine--glycine ligase,purD,purD / Phosphoribosylamine--glycine ligase,COG0151,6.3.4.13,annotated,purD / Phosphoribosylamine--glycine ligase,Lower mutant abundance
E745S_03051,1709.35906260599,1.01734473367078,0.291086795760292,3.49498757239596,0.000474083829144188,0.0204474416743928,CDS,NA,IS6 family transposase IS1216E,IS6 family transposase IS1216E,E745S_03051,IS6 family transposase IS1216E,,,annotated,IS6 family transposase IS1216E,Higher mutant abundance
E745S_03041,1592.48470279366,1.1238150875568,0.323234905262475,3.47677515410729,0.000507483207313391,0.0214222698576546,CDS,NA,IS6 family transposase IS1216E,IS6 family transposase IS1216E,E745S_03041,IS6 family transposase IS1216E,,,annotated,IS6 family transposase IS1216E,Higher mutant abundance
E745S_00706,2163.85858049994,1.29394270829079,0.384312386893746,3.36690346816362,0.000760172925627367,0.0307412087086233,CDS,fur,Ferric uptake regulation protein,Ferric uptake regulation protein,fur,fur / Ferric uptake regulation protein,COG0735,,annotated,fur / Ferric uptake regulation protein,Higher mutant abundance
E745S_01550,4463.73222819836,-0.624244778560381,0.185694871895636,-3.36166945370046,0.000774728042051999,0.0307412087086233,CDS,NA,hypothetical protein,hypothetical protein,E745S_01550,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_01813,3441.69047052454,-0.902602642959662,0.267927007782702,-3.36883784292363,0.000754858242904119,0.0307412087086233,CDS,NA,hypothetical protein,hypothetical protein,E745S_01813,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_00707,40.1120637197637,6.78179627297056,2.02154920247696,3.35475202120283,0.000794361583723029,0.0309022231785586,CDS,cvfB,Conserved virulence factor B,Conserved virulence factor B,cvfB,cvfB / Conserved virulence factor B,,,annotated,cvfB / Conserved virulence factor B,Higher mutant abundance
E745S_02762,1454.43101944659,1.15201326176386,0.344754744514604,3.34154432997241,0.000833137113130679,0.0317873852394474,CDS,NA,IS6 family transposase IS1216E,IS6 family transposase IS1216E,E745S_02762,IS6 family transposase IS1216E,,,annotated,IS6 family transposase IS1216E,Higher mutant abundance
E745S_03044,1714.23799602398,0.99364938892477,0.301764836107033,3.29279382496486,0.000991971875479378,0.0371334377537941,CDS,NA,IS6 family transposase IS1216E,IS6 family transposase IS1216E,E745S_03044,IS6 family transposase IS1216E,,,annotated,IS6 family transposase IS1216E,Not significant
E745S_02107,41.6063091197567,8.37366909018339,2.56791390693948,3.26088389005354,0.00111065509943779,0.0408062910608253,CDS,ypdF,Aminopeptidase YpdF,Aminopeptidase YpdF,ypdF,ypdF / Aminopeptidase YpdF,COG0006,3.4.11.-,annotated,ypdF / Aminopeptidase YpdF,Higher mutant abundance
E745S_00444,300.293862059076,-5.08802342677687,1.57849683006499,-3.22333458634022,0.00126707456318694,0.0441402278153986,CDS,carB,Carbamoyl-phosphate synthase large chain,Carbamoyl-phosphate synthase large chain,carB,carB / Carbamoyl-phosphate synthase large chain,COG0458,6.3.5.5,annotated,carB / Carbamoyl-phosphate synthase large chain,Lower mutant abundance
E745S_00566,50.9892749842642,-7.63147771928161,2.37141712244368,-3.21810855081352,0.0012903897244421,0.0441402278153986,CDS,pycA,Pyruvate carboxylase,Pyruvate carboxylase,pycA,pycA / Pyruvate carboxylase,,6.4.1.1,annotated,pycA / Pyruvate carboxylase,Lower mutant abundance
E745S_01568,172.17292179886,-2.4795947488806,0.768558094892991,-3.22629449270955,0.00125404252780605,0.0441402278153986,CDS,NA,hypothetical protein,hypothetical protein,E745S_01568,hypothetical protein,,,annotated,hypothetical protein,Lower mutant abundance
E745S_01890,6520.60622592635,0.674280637516531,0.209211804943473,3.22295693447468,0.00126874627340876,0.0441402278153986,CDS,NA,TelA-like protein,TelA-like protein,E745S_01890,TelA-like protein,,,annotated,TelA-like protein,Not significant
