feature,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ftype,gene_name,product_name,product_short,gene_only_label,gene_product_label,COG,EC_number,annotation_status,plot_label,tnseq_change
E745S_01006,612.156578781588,0.559024346074947,0.488704959781231,1.1438892421415,0.252669573056256,0.888389379552367,CDS,NA,IS30 family transposase IS1252,IS30 family transposase IS1252,E745S_01006,IS30 family transposase IS1252,COG2826,,annotated,IS30 family transposase IS1252,Not significant
E745S_01709,3310.27879145153,-0.432356225940538,0.378192974515825,-1.14321591112065,0.252948957696923,0.888389379552367,CDS,manZ_2,PTS system mannose-specific EIID component,PTS system mannose-specific EIID component,manZ_2,manZ_2 / PTS system mannose-specific EIID component,COG3716,,annotated,manZ_2 / PTS system mannose-specific EIID component,Not significant
E745S_01767,208.722848019343,1.21225541673598,1.05929459720658,1.14439875359769,0.252458304892603,0.888389379552367,CDS,ccpA_1,Catabolite control protein A,Catabolite control protein A,ccpA_1,ccpA_1 / Catabolite control protein A,COG1609,,annotated,ccpA_1 / Catabolite control protein A,Not significant
E745S_01808,5332.63363949758,-0.31460559001166,0.274362547662785,-1.14667833744691,0.251514586679662,0.888389379552367,CDS,NA,hypothetical protein,hypothetical protein,E745S_01808,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_02255,4844.9197132312,-0.385451838298846,0.337305849544427,-1.14273689240624,0.253147847474388,0.888389379552367,CDS,mtlF_1,Mannitol-specific phosphotransferase enzyme IIA component,Mannitol-specific phosphotransferase enzyme IIA compone,mtlF_1,mtlF_1 / Mannitol-specific phosphotransferase enzyme IIA compone,COG2213,,annotated,mtlF_1 / Mannitol-specific phosphotransferase enzyme IIA compone,Not significant
E745S_02463,464.350911399507,1.19771343728633,1.04392394176528,1.14731867846712,0.251249937064901,0.888389379552367,CDS,fbp,Fructose-1,6-bisphosphatase class 3,Fructose-1,6-bisphosphatase class 3,fbp,fbp / Fructose-1,6-bisphosphatase class 3,COG3855,3.1.3.11,annotated,fbp / Fructose-1,6-bisphosphatase class 3,Not significant
E745S_00145,3.40291623916373,4.06987492984856,3.571998274969,1.13938322937289,0.254543347718422,0.890253474193461,CDS,truB,tRNA pseudouridine synthase B,tRNA pseudouridine synthase B,truB,truB / tRNA pseudouridine synthase B,COG0130,5.4.99.25,annotated,truB / tRNA pseudouridine synthase B,Not significant
E745S_01037,2533.25037787229,0.355736071149653,0.312184673414533,1.13950523982736,0.254492484054381,0.890253474193461,CDS,NA,hypothetical protein,hypothetical protein,E745S_01037,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_00940,714.539953467309,0.631704915258888,0.55551039151767,1.13716129329832,0.255470864639605,0.890473741383393,CDS,NA,hypothetical protein,hypothetical protein,E745S_00940,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_02349,25.2883582780198,3.63796531464748,3.19733881346293,1.13781038760397,0.255199666512733,0.890473741383393,CDS,NA,hypothetical protein,hypothetical protein,E745S_02349,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_00098,48.6108251136863,-1.54939131492113,1.37747682372326,-1.12480390830329,0.260672137941139,0.892181296028173,CDS,folA_1,Dihydrofolate reductase,Dihydrofolate reductase,folA_1,folA_1 / Dihydrofolate reductase,,1.5.1.3,annotated,folA_1 / Dihydrofolate reductase,Not significant
E745S_00357,3452.13402864185,0.358339519552571,0.316294790513593,1.13292893307128,0.257244098587711,0.892181296028173,CDS,NA,hypothetical protein,hypothetical protein,E745S_00357,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_00381,124.408368271203,2.98356894439372,2.64661098668995,1.12731676827398,0.259608575241164,0.892181296028173,CDS,NA,hypothetical protein,hypothetical protein,E745S_00381,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_00559,2145.06988292064,0.537267589369987,0.478575737749824,1.12263858568368,0.261591020777192,0.892181296028173,CDS,NA,hypothetical protein,hypothetical protein,E745S_00559,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_00614,4.29017159151906,-4.34963324452918,3.86208384964212,-1.12623998179952,0.260063954362221,0.892181296028173,CDS,yuaF,putative membrane protein YuaF,putative membrane protein YuaF,yuaF,yuaF / putative membrane protein YuaF,,,annotated,yuaF / putative membrane protein YuaF,Not significant
E745S_00698,2892.42021949801,0.513551981494096,0.457193627628496,1.12327020863772,0.261322752373126,0.892181296028173,CDS,NA,hypothetical protein,hypothetical protein,E745S_00698,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_00757,723.708816991847,0.626916793581323,0.556677944600984,1.12617501674273,0.260091446127604,0.892181296028173,CDS,NA,hypothetical protein,hypothetical protein,E745S_00757,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_01517,1454.21835873895,0.293568842354152,0.259941562646631,1.12936476708511,0.25874398934742,0.892181296028173,CDS,NA,IS256 family transposase ISEf1,IS256 family transposase ISEf1,E745S_01517,IS256 family transposase ISEf1,,,annotated,IS256 family transposase ISEf1,Not significant
E745S_02082,314.058236509235,1.03533223616568,0.921158404284752,1.12394592650933,0.261035966242982,0.892181296028173,CDS,NA,hypothetical protein,hypothetical protein,E745S_02082,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_02457,362.572939704116,0.983088880956479,0.867114612283044,1.13374733516263,0.256900547866002,0.892181296028173,CDS,NA,hypothetical protein,hypothetical protein,E745S_02457,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_02577,398.906346500835,0.920349032782935,0.81719716286946,1.12622641707574,0.260069694485119,0.892181296028173,CDS,brnQ_2,Branched-chain amino acid transport system 2 carrier protein,Branched-chain amino acid transport system 2 carrier pr,brnQ_2,brnQ_2 / Branched-chain amino acid transport system 2 carrier pr,COG1114,,annotated,brnQ_2 / Branched-chain amino acid transport system 2 carrier pr,Not significant
E745S_02606,449.384977294345,1.46186909209717,1.29274561414944,1.13082502550899,0.258128744609578,0.892181296028173,CDS,ugd,UDP-glucose 6-dehydrogenase,UDP-glucose 6-dehydrogenase,ugd,ugd / UDP-glucose 6-dehydrogenase,COG1004,1.1.1.22,annotated,ugd / UDP-glucose 6-dehydrogenase,Not significant
E745S_02893,1735.73159454452,0.558845931462547,0.494529277102643,1.13005631281675,0.258452496641264,0.892181296028173,CDS,NA,hypothetical protein,hypothetical protein,E745S_02893,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_00003,1428.2113692412,0.255824243318324,0.231740241289294,1.10392671507995,0.269624929094332,0.896477736545291,CDS,NA,IS256 family transposase ISEf1,IS256 family transposase ISEf1,E745S_00003,IS256 family transposase ISEf1,,,annotated,IS256 family transposase ISEf1,Not significant
E745S_00083,3183.79432158666,0.263054776891275,0.235438342814831,1.117297946232,0.263866953336389,0.896477736545291,CDS,NA,hypothetical protein,hypothetical protein,E745S_00083,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_00899,2.58873102164744,-4.33165138133263,3.92190185115556,-1.10447725254938,0.269386165800732,0.896477736545291,CDS,arnC_2,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose ,arnC_2,arnC_2 / Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose ,,2.4.2.53,annotated,arnC_2 / Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose ,Not significant
E745S_00975,3421.2221004672,0.29340871731991,0.26546940881235,1.10524492683565,0.269053474453228,0.896477736545291,CDS,NA,hypothetical protein,hypothetical protein,E745S_00975,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_01223,6079.21117966212,0.253001912483554,0.226929008366893,1.11489454038642,0.264895616570141,0.896477736545291,CDS,prkC,Serine/threonine-protein kinase PrkC,Serine/threonine-protein kinase PrkC,prkC,prkC / Serine/threonine-protein kinase PrkC,COG0515,2.7.11.1,annotated,prkC / Serine/threonine-protein kinase PrkC,Not significant
E745S_01287,13570.5830394316,-0.240726421837345,0.217438704600887,-1.10710014704697,0.268250631982331,0.896477736545291,CDS,NA,hypothetical protein,hypothetical protein,E745S_01287,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_01314,10.0225729657518,-2.42267369465719,2.17446004308589,-1.11414955743176,0.265215031281051,0.896477736545291,CDS,NA,hypothetical protein,hypothetical protein,E745S_01314,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_01458,9535.57698395842,0.279256692657995,0.253066415438783,1.10349171451218,0.269813687698097,0.896477736545291,CDS,lacE_2,PTS system lactose-specific EIICB component,PTS system lactose-specific EIICB component,lacE_2,lacE_2 / PTS system lactose-specific EIICB component,COG1455,,annotated,lacE_2 / PTS system lactose-specific EIICB component,Not significant
E745S_01513,469.950569463808,1.01181811035805,0.904499608184133,1.11864958392781,0.263289661315296,0.896477736545291,CDS,truA,tRNA pseudouridine synthase A,tRNA pseudouridine synthase A,truA,truA / tRNA pseudouridine synthase A,COG0101,5.4.99.12,annotated,truA / tRNA pseudouridine synthase A,Not significant
E745S_01607,2385.83504975923,-0.431109904676074,0.389190251374261,-1.1077099263247,0.267987111065625,0.896477736545291,CDS,NA,hypothetical protein,hypothetical protein,E745S_01607,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_01853,2018.82161356694,-0.520197866123354,0.470722989656334,-1.10510401564016,0.269114520791182,0.896477736545291,CDS,NA,hypothetical protein,hypothetical protein,E745S_01853,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_01935,502.990334314982,-0.765610730158555,0.692945979754098,-1.10486351393545,0.269218734248027,0.896477736545291,CDS,NA,hypothetical protein,hypothetical protein,E745S_01935,hypothetical protein,,,annotated,hypothetical protein,Not significant
