,ERR1801006,ERR1801007,ERR1801008,ERR1801009,ERR1801010,ERR1801011,ERR1801012,ERR1801013,ERR1801014
E745S_00118,4108.67401281844,4395.12779669267,6832.83942096444,3413.90219370611,3369.76105138371,3490.51500855061,2598.30376059796,2372.9178129709,2410.95935732964
E745S_00119,148.495887834581,341.993154066536,262.050296992681,408.045625668973,508.557350897271,533.743799851185,5.17384261369566,0,1.08211820346932
E745S_00120,411.817084285437,157.904031691974,703.141169570424,338.844905526282,3.63905081142949,496.466455099674,85.885787387348,139.583400762994,321.389106430387
E745S_00121,45.757453809493,0,0,0,0,0,0,0,0
E745S_00123,246.917580934245,392.776360238829,782.895607785587,120.106997029269,927.95795691452,292.288271347078,588.783289438566,216.559540889646,170.974676148152
E745S_00125,24440.5237715649,25601.0838116072,29642.6087505013,23495.6330148846,32206.5094438538,18814.0453385639,23047.3993069687,16854.6956421316,20772.341033797
E745S_00126,402.320254249505,149.969155727553,413.420965441869,0.795410576352774,313.868132485793,391.412119890869,135.554676478826,145.741491973127,479.378364136907
E745S_00127,0,0,1.62764159622783,0,6.36833892000161,0.847212380716167,0,0,1.08211820346932
E745S_00131,1.72669637016955,2.38046278932623,0,0.795410576352774,3.63905081142949,4.23606190358084,1.03476852273913,0,1.08211820346932
E745S_00134,0.863348185084774,0,0,0,0,0.847212380716167,0,17.4479250953743,0
E745S_00135,1.72669637016955,0.793487596442078,0,1.59082115270555,1.81952540571474,0,1.03476852273913,13.3425309552862,2.16423640693863
E745S_00143,3296.26337065367,816.498736738898,1827.84151256386,3023.35560071689,2079.71753873195,2362.87532981739,1834.64459081648,1221.3547566762,1015.02687485422
E745S_00144,1.72669637016955,2.38046278932623,1.62764159622783,0.795410576352774,2.72928810857212,69.4714152187257,1.03476852273913,1.02634853502202,1.08211820346932
E745S_00145,2.59004455525432,1.58697519288416,6.51056638491133,6.36328461082219,10.0073897314311,2.5416371421485,0,1.02634853502202,0
E745S_00146,12.0868745911868,0.793487596442078,0,0,2.72928810857212,0,0,0,1.08211820346932
E745S_00147,7178.74015897989,8203.0747720182,10963.7937921907,6514.41262032922,7111.61504823608,7674.04974452704,8986.96461998937,8958.99636220719,7855.09603898377
E745S_00148,416.997173395946,97.5989743623756,634.780222528855,266.462543078179,0.909762702857372,258.399776118431,0,63.6336091713651,142.83960285795
E745S_00149,0,45.2287929971984,104.169062158581,141.583082590794,0,67.7769904572934,0,49.2647296810568,0
E745S_00152,391.096727843403,898.227959172432,157.8812348341,1617.86511230154,1251.83347913174,727.755435035188,2273.38644445787,821.078828017614,1271.48888907645
