feature,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ftype,gene_name,product_name,product_short,gene_only_label,gene_product_label,COG,EC_number,annotation_status,plot_label,tnseq_change
E745S_02482,137.840878540436,0.122691317503062,2.01533061344573,0.0608790025242009,0.951455571980924,0.994019559207804,CDS,lipL,Octanoyl-[GcvH]:protein N-octanoyltransferase,Octanoyl-[GcvH]:protein N-octanoyltransferase,lipL,lipL / Octanoyl-[GcvH]:protein N-octanoyltransferase,COG0095,2.3.1.204,annotated,lipL / Octanoyl-[GcvH]:protein N-octanoyltransferase,Not significant
E745S_00225,391.733232291558,0.0443971109365768,0.843502025586101,0.0526342671266591,0.958023313582732,0.99424875563537,CDS,umpB_1,Na(+), Li(+), K(+)/H(+) antiporter subunit B,Na(+), Li(+), K(+)/H(+) antiporter subunit B,umpB_1,umpB_1 / Na(+), Li(+), K(+)/H(+) antiporter subunit B,,,annotated,umpB_1 / Na(+), Li(+), K(+)/H(+) antiporter subunit B,Not significant
E745S_00389,11265.6521195394,-0.0223990384720431,0.427480552232265,-0.0523977953033825,0.958211730798847,0.99424875563537,CDS,NA,hypothetical protein,hypothetical protein,E745S_00389,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_00473,371.915156738303,-0.0712184194958091,1.27123391864835,-0.0560230642457468,0.955323433401756,0.99424875563537,CDS,NA,hypothetical protein,hypothetical protein,E745S_00473,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_01274,321.25625817489,0.0854679055741608,1.56721952016017,0.0545347377790612,0.956509133012148,0.99424875563537,CDS,msr(C),ABC-F type ribosomal protection protein Msr(C),ABC-F type ribosomal protection protein Msr(C),msr(C),msr(C) / ABC-F type ribosomal protection protein Msr(C),,,annotated,msr(C) / ABC-F type ribosomal protection protein Msr(C),Not significant
E745S_01298,4666.10351294357,0.0185652173689681,0.347815720648209,0.0533765907255973,0.957431856513098,0.99424875563537,CDS,mutS_1,DNA mismatch repair protein MutS,DNA mismatch repair protein MutS,mutS_1,mutS_1 / DNA mismatch repair protein MutS,,,annotated,mutS_1 / DNA mismatch repair protein MutS,Not significant
E745S_01311,281.704081913826,0.0496476630341949,0.895625308528633,0.05543351953258,0.955793092156878,0.99424875563537,CDS,NA,hypothetical protein,hypothetical protein,E745S_01311,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_01340,161.331867753652,-0.122237231561835,2.27604367853111,-0.0537060130764813,0.957169391976008,0.99424875563537,CDS,NA,hypothetical protein,hypothetical protein,E745S_01340,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_02781,468.156917510529,-0.0708259541120646,1.33977221964293,-0.0528641757708193,0.957840128057992,0.99424875563537,CDS,NA,hypothetical protein,hypothetical protein,E745S_02781,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_02793,295.913921550654,0.0370890944229112,0.724454309732908,0.0511959055590203,0.959169414458719,0.99424875563537,CDS,NA,IS3 family transposase ISEfa8,IS3 family transposase ISEfa8,E745S_02793,IS3 family transposase ISEfa8,,,annotated,IS3 family transposase ISEfa8,Not significant
E745S_02798,575.359609738736,-0.0327389501236885,0.634040077211141,-0.0516354585465519,0.958819165179884,0.99424875563537,CDS,NA,hypothetical protein,hypothetical protein,E745S_02798,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_02986,50.0266405641299,0.0626990667136177,1.11523654393024,0.0562204198336776,0.955166214213176,0.99424875563537,CDS,NA,hypothetical protein,hypothetical protein,E745S_02986,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_01295,8175.53838496679,0.0148146925849311,0.293983269238173,0.0503929785641267,0.959809231573431,0.994392436261977,CDS,yadH,Inner membrane transport permease YadH,Inner membrane transport permease YadH,yadH,yadH / Inner membrane transport permease YadH,COG0842,,annotated,yadH / Inner membrane transport permease YadH,Not significant
E745S_03058,1022.93046070206,-0.0297636351673933,0.599031194147339,-0.0496862858865954,0.960372385238342,0.994456582626759,CDS,rssB,Regulator of RpoS,Regulator of RpoS,rssB,rssB / Regulator of RpoS,,,annotated,rssB / Regulator of RpoS,Not significant
E745S_03113,117.398583611445,-0.0563240519204997,1.19231473505802,-0.0472392483833212,0.962322546737273,0.995956146440663,CDS,NA,hypothetical protein,hypothetical protein,E745S_03113,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_00410,9945.44082340852,-0.0104244950680801,0.247912511519251,-0.0420490882214738,0.966459565954624,0.996003580415571,CDS,NA,hypothetical protein,hypothetical protein,E745S_00410,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_00750,437.788481083039,-0.0323939592693531,0.761645546524883,-0.0425315416300341,0.96607496790735,0.996003580415571,CDS,arsC,Arsenate reductase,Arsenate reductase,arsC,arsC / Arsenate reductase,COG0394,1.20.4.4,annotated,arsC / Arsenate reductase,Not significant
E745S_01471,14.3252660641709,0.15435866837711,3.73422646693951,0.0413361829400826,0.967027887895064,0.996003580415571,CDS,deoB,Phosphopentomutase,Phosphopentomutase,deoB,deoB / Phosphopentomutase,,5.4.2.7,annotated,deoB / Phosphopentomutase,Not significant
E745S_01640,112.194366266028,0.0801013597220054,1.96272363015639,0.040811328957008,0.967446307682865,0.996003580415571,CDS,rhaB,Rhamnulokinase,Rhamnulokinase,rhaB,rhaB / Rhamnulokinase,,2.7.1.5,annotated,rhaB / Rhamnulokinase,Not significant
E745S_01796,258.606410274591,-0.0856055598044148,2.16240057095202,-0.0395882062529821,0.968421430115916,0.996003580415571,CDS,NA,hypothetical protein,hypothetical protein,E745S_01796,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_01937,1278.00272354625,0.0158948618344232,0.400531841606077,0.0396843900616916,0.968344746799772,0.996003580415571,CDS,NA,hypothetical protein,hypothetical protein,E745S_01937,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_02020,555.459015856525,-0.0484004783307863,1.21110996294125,-0.0399637355911457,0.96812203798864,0.996003580415571,CDS,NA,hypothetical protein,hypothetical protein,E745S_02020,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_02033,11109.3155461064,0.007564743771038,0.193994138632083,0.0389947027491631,0.968894611997002,0.996003580415571,CDS,dgaR_1,Transcriptional regulatory protein DagR,Transcriptional regulatory protein DagR,dgaR_1,dgaR_1 / Transcriptional regulatory protein DagR,,,annotated,dgaR_1 / Transcriptional regulatory protein DagR,Not significant
E745S_02632,601.10271097557,-0.0334500041281435,0.759359793488107,-0.044050270260546,0.96486433285604,0.996003580415571,CDS,cadA,Cadmium, zinc and cobalt-transporting ATPase,Cadmium, zinc and cobalt-transporting ATPase,cadA,cadA / Cadmium, zinc and cobalt-transporting ATPase,COG2217,3.6.3.3,annotated,cadA / Cadmium, zinc and cobalt-transporting ATPase,Not significant
E745S_02761,190.639250609082,0.0638528345472443,1.46012409421048,0.0437311012128535,0.96511874774091,0.996003580415571,CDS,manZ_7,PTS system mannose-specific EIID component,PTS system mannose-specific EIID component,manZ_7,manZ_7 / PTS system mannose-specific EIID component,COG3716,,annotated,manZ_7 / PTS system mannose-specific EIID component,Not significant
E745S_02856,1585.03779213207,-0.025102022138882,0.599542975928419,-0.041868595157854,0.96660345186869,0.996003580415571,CDS,licC_3,Lichenan permease IIC component,Lichenan permease IIC component,licC_3,licC_3 / Lichenan permease IIC component,COG1455,,annotated,licC_3 / Lichenan permease IIC component,Not significant
E745S_02876,421.724013208758,0.0444064629799221,0.973340435687444,0.0456227454976316,0.963610939760383,0.996003580415571,CDS,gmuE_5,Putative fructokinase,Putative fructokinase,gmuE_5,gmuE_5 / Putative fructokinase,COG1940,2.7.1.4,annotated,gmuE_5 / Putative fructokinase,Not significant
E745S_02944,183.839411172931,-0.0850738375149181,2.09699956535501,-0.0405693157597368,0.967639246485263,0.996003580415571,CDS,NA,hypothetical protein,hypothetical protein,E745S_02944,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_03133,2254.02950110216,0.0136070644077696,0.363466592222438,0.0374369053413366,0.970136647077222,0.996763908752568,CDS,NA,hypothetical protein,hypothetical protein,E745S_03133,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_01120,280.010433575833,-0.0687778748581124,1.97243510429611,-0.0348695248367408,0.97218378148583,0.998350218668678,CDS,araQ_2,L-arabinose transport system permease protein AraQ,L-arabinose transport system permease protein AraQ,araQ_2,araQ_2 / L-arabinose transport system permease protein AraQ,COG0395,,annotated,araQ_2 / L-arabinose transport system permease protein AraQ,Not significant
E745S_02183,89.9037826356939,-0.0887391148360577,2.60877262918787,-0.0340156569580702,0.972864665479075,0.998532589917478,CDS,NA,hypothetical protein,hypothetical protein,E745S_02183,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_03026,1315.53554287114,0.0143736321328906,0.438841194949461,0.0327536072235561,0.973871074415841,0.999048713361442,CDS,NA,hypothetical protein,hypothetical protein,E745S_03026,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_01306,494.859018727288,-0.0395502640839032,1.33050511906065,-0.0297257511581963,0.976285774539126,0.999859320031086,CDS,NA,hypothetical protein,hypothetical protein,E745S_01306,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_02041,116.063937819942,0.0474434840076224,1.62282685134831,0.0292350868906344,0.976677097893269,0.999859320031086,CDS,NA,hypothetical protein,hypothetical protein,E745S_02041,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_02237,3646.41782297315,-0.00889724740773614,0.300630173424125,-0.029595324070096,0.976389794533228,0.999859320031086,CDS,NA,hypothetical protein,hypothetical protein,E745S_02237,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_03139,88.3594624014814,0.0752648609212553,2.52849910269383,0.0297666156341796,0.976253183826554,0.999859320031086,CDS,NA,hypothetical protein,hypothetical protein,E745S_03139,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_00001,935.48832733411,0.0014488032372801,0.298551095672995,0.00485278151136643,0.996128055752188,1,CDS,NA,IS256 family transposase ISEf1,IS256 family transposase ISEf1,E745S_00001,IS256 family transposase ISEf1,,,annotated,IS256 family transposase ISEf1,Not significant
E745S_00043,84.6649015120476,0.0413141771703942,2.1372581888692,0.0193304568374367,0.984577487421665,1,CDS,NA,hypothetical protein,hypothetical protein,E745S_00043,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_00056,1962.53280610226,0.0112291681424388,0.49791569782451,0.0225523481012976,0.982007354854808,1,CDS,NA,hypothetical protein,hypothetical protein,E745S_00056,hypothetical protein,,,annotated,hypothetical protein,Not significant
