gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ftype,gene_name,product_name,product_short,plot_label,COG,EC_number,expression_change
E745S_00587,32998.7410194714,8.32229612833383,0.300891879837336,27.6587594614814,2.18971497618273e-168,1.93159402899028e-167,gene,purH,,,purH,,,Up in Serum
E745S_00096,1202.71845012156,2.83662381272244,0.10261433000439,27.6435446452857,3.33685049076123e-168,2.93461383039454e-167,gene,,,,E745S_00096,,,Up in Serum
E745S_00590,25036.6080715009,8.79395519585679,0.320107014798384,27.4719227924311,3.80219288927156e-166,3.32377882902989e-165,gene,purF,,,purF,,,Up in Serum
E745S_00539,933.838924211366,2.8389735426205,0.103398661846339,27.456579146445,5.79813854765786e-166,5.05340757851258e-165,gene,,,,E745S_00539,,,Up in Serum
E745S_00395,2980.49732385955,1.73778196606917,0.0639747872802384,27.163544264038,1.7518961536904e-162,1.50880760455407e-161,gene,menE,,,menE,,,Up in Serum
E745S_00945,483.016156040818,5.90251147627333,0.219569590773767,26.882190085944,3.54778512185816e-159,2.98485621090437e-158,gene,,,,E745S_00945,,,Up in Serum
E745S_00363,578.975778561456,3.96514947573517,0.147822255506464,26.8237652182339,1.70708939563657e-158,1.43208565726168e-157,gene,mdxE,,,mdxE,,,Up in Serum
E745S_02102,23599.7933696172,1.60652552788308,0.0603004839997804,26.6420005499281,2.21553439796589e-156,1.83744177563496e-155,gene,manX_3,,,manX_3,,,Up in Serum
E745S_02144,3756.57647380478,5.47155468194416,0.205443707181529,26.6328657957361,2.82684715552356e-156,2.33777047435485e-155,gene,celB,,,celB,,,Up in Serum
E745S_02162,685.208306931906,2.61861930975041,0.0991536753500495,26.4097049403939,1.06004372469296e-153,8.69235854248231e-153,gene,,,,E745S_02162,,,Up in Serum
E745S_00538,407.041636705128,3.62531814790173,0.137625728069579,26.3418635363649,6.361378893583e-153,5.20167807843261e-152,gene,,,,E745S_00538,,,Up in Serum
E745S_00600,5559.97749740124,1.50459837800253,0.0571466895228151,26.3287058369643,9.00027482084021e-153,7.31837988923627e-152,gene,xpt,,,xpt,,,Up in Serum
E745S_02282,1325.17940231706,2.14877877020003,0.0818757554484211,26.2443840478967,8.28458943727214e-152,6.71767126793849e-151,gene,,,,E745S_02282,,,Up in Serum
