gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ftype,gene_name,product_name,product_short,plot_label,COG,EC_number,expression_change
E745S_02762,74.1762134131351,2.30367017490753,0.244747737465867,9.41242684716875,4.84811422019794e-21,1.15774081173062e-20,gene,,,,E745S_02762,,,Up in Serum
E745S_01420,76.9522402711297,-2.33645046627618,0.249831095171467,-9.35212033823331,8.59079539574755e-21,2.04145350179764e-20,gene,,,,E745S_01420,,,Higher in BH
E745S_02617,393.441749509628,-1.07572288717368,0.115853315920061,-9.28521448549579,1.61381807233499e-20,3.81936943785948e-20,gene,eriC,,,eriC,,,Higher in BH
E745S_00951,44.301565993706,4.93607820853022,0.532282157472659,9.27342414024797,1.80263934963973e-20,4.26278078537877e-20,gene,,,,E745S_00951,,,Up in Serum
E745S_00031,188.530539893197,1.32536434141183,0.143060078708346,9.2643898519993,1.96195826490058e-20,4.63576340026428e-20,gene,,,,E745S_00031,,,Up in Serum
E745S_02181,41.4897324643821,4.17576047388899,0.451061826545481,9.25762329716444,2.09033162559681e-20,4.93508139668477e-20,gene,,,,E745S_02181,,,Up in Serum
E745S_01128,234.560420348994,-1.21816521643082,0.13234577967786,-9.20441301109812,3.43543712144233e-20,8.09761737693815e-20,gene,,,,E745S_01128,,,Higher in BH
E745S_01301,143.628339486197,1.5200037860307,0.165315759229236,9.19454862087881,3.7657225577472e-20,8.86177717510275e-20,gene,,,,E745S_01301,,,Up in Serum
E745S_01107,331.371169157469,-1.03882127114579,0.113041632546221,-9.18972282818922,3.93854884070999e-20,9.24606102847321e-20,gene,ywpJ_1,,,ywpJ_1,,,Higher in BH
E745S_01813,868.335439869606,-1.02918955326919,0.112292596485877,-9.16524851572586,4.94329399459465e-20,1.15767729833186e-19,gene,,,,E745S_01813,,,Higher in BH
E745S_01356,368.097735842533,1.02338111599569,0.111668958351492,9.16441893166473,4.98146184163457e-20,1.16474180088339e-19,gene,mntD,,,mntD,,,Up in Serum
E745S_01946,180.251768737311,1.35540176534035,0.148936002646023,9.10056494910601,8.98631562648699e-20,2.09440871006434e-19,gene,,,,E745S_01946,,,Up in Serum
E745S_02812,110.916793602877,1.77246633811915,0.195451162222703,9.06858940086295,1.20567719475508e-19,2.80553662184816e-19,gene,,,,E745S_02812,,,Up in Serum
E745S_00971,41.8449479938328,4.85275855626296,0.535184827494821,9.06744419302493,1.21841343734749e-19,2.83290855920012e-19,gene,,,,E745S_00971,,,Up in Serum
E745S_01557,405.438549441603,-1.02044895256358,0.112936642589623,-9.03558782309102,1.63123329667196e-19,3.78066889061471e-19,gene,yohK,,,yohK,,,Higher in BH
E745S_02435,199.53101693286,-1.26444011421051,0.140192681217725,-9.0193018867139,1.89291697767784e-19,4.38019182990475e-19,gene,,,,E745S_02435,,,Higher in BH
E745S_00625,331.966445494625,-1.04806375565802,0.116676360437981,-8.98265725570961,2.64304845697734e-19,6.10143858704286e-19,gene,,,,E745S_00625,,,Higher in BH
E745S_00359,185.506092169835,1.35711873806825,0.151764423788538,8.94227187235398,3.81250256207205e-19,8.78021753021498e-19,gene,ohrA,,,ohrA,,,Up in Serum
E745S_00108,256.686695707373,1.14061456707326,0.127729495358192,8.92992306807942,4.26305146667327e-19,9.81007337508766e-19,gene,,,,E745S_00108,,,Up in Serum
E745S_01256,48.3217218013496,-3.06471728039062,0.344032073900311,-8.90823127519986,5.185314164385e-19,1.1922945918266e-18,gene,sigH,,,sigH,,,Higher in BH
E745S_01606,407.371807528373,-1.04303892358587,0.117115487867823,-8.90607162703407,5.28727741636517e-19,1.21382212610718e-18,gene,,,,E745S_01606,,,Higher in BH
E745S_01145,156.878036084072,1.39429411971828,0.156760028899283,8.89444923880502,5.87097380262985e-19,1.34570116058705e-18,gene,,,,E745S_01145,,,Up in Serum
E745S_03129,230.90535487041,1.16542263132556,0.131975580940774,8.83059292497878,1.04122282135859e-18,2.38098949958747e-18,gene,,,,E745S_03129,,,Up in Serum
E745S_00284,112.838725479664,1.62532059453221,0.18410520797645,8.82821628131299,1.06358240166654e-18,2.43021065247354e-18,gene,,,,E745S_00284,,,Up in Serum
E745S_00445,2082.8254719958,1.77530201722774,0.201955109554352,8.790577377048,1.4879329122563e-18,3.39449271753768e-18,gene,carA,,,carA,,,Up in Serum
E745S_02198,44.9083714949808,2.95512087972931,0.336851415772709,8.7727726272146,1.74319807691002e-18,3.97372717453803e-18,gene,,,,E745S_02198,,,Up in Serum
E745S_02294,329.635045978902,1.04425820380555,0.119341299954304,8.75018291409094,2.13007202926317e-18,4.85183073332167e-18,gene,,,,E745S_02294,,,Up in Serum
E745S_00056,154.739939082186,1.41528821824452,0.163491365809814,8.65665419842961,4.85813693646929e-18,1.09883734437157e-17,gene,,,,E745S_00056,,,Up in Serum
E745S_02943,277.007029739042,1.07983485305,0.124911431855493,8.64480405844068,5.3897706532197e-18,1.21624979624206e-17,gene,,,,E745S_02943,,,Up in Serum
E745S_00178,76.4446286501611,1.98786244315086,0.230688847539762,8.6170721487012,6.86878564006174e-18,1.54760332803558e-17,gene,,,,E745S_00178,,,Up in Serum
E745S_02936,98.6860719358216,1.72505426994348,0.200524317087999,8.60271858792294,7.78496938144698e-18,1.75267176097387e-17,gene,,,,E745S_02936,,,Up in Serum
E745S_00766,137.930677814976,1.43126144290641,0.166410088468444,8.6008093384183,7.91558907568533e-18,1.78070168464606e-17,gene,,,,E745S_00766,,,Up in Serum
E745S_03031,64.3815351513483,2.17069435585214,0.253495594871879,8.5630456692916,1.09924366384747e-17,2.46905733445986e-17,gene,,,,E745S_03031,,,Up in Serum
E745S_02993,64.4304408926163,2.2416860640236,0.262242908499204,8.5481284388302,1.25100461160994e-17,2.80560433312522e-17,gene,,,,E745S_02993,,,Up in Serum
E745S_02341,87.2320314784373,-1.98782109883932,0.232790364253289,-8.53910386375124,1.35266751504446e-17,3.02893472022648e-17,gene,,,,E745S_02341,,,Higher in BH
E745S_02201,156.562250312397,1.36921105514092,0.160398946877312,8.53628456917627,1.38606746740733e-17,3.09895729464113e-17,gene,,,,E745S_02201,,,Up in Serum
E745S_00348,207.323790459946,-1.19883250720186,0.140477743739782,-8.53396755448002,1.41412514884516e-17,3.15926194035936e-17,gene,,,,E745S_00348,,,Higher in BH
E745S_03128,162.920984665951,1.4300544271928,0.167818459728465,8.5214369712764,1.57585765543773e-17,3.51518899232126e-17,gene,,,,E745S_03128,,,Up in Serum
E745S_02908,171.849113170289,1.30997259863364,0.153785316192865,8.51819036474706,1.62065659664247e-17,3.6123517249818e-17,gene,topB_3,,,topB_3,,,Up in Serum
E745S_01215,226.565983130248,-1.12339704237354,0.132405223460395,-8.4845371882898,2.16578998108745e-17,4.82004176983606e-17,gene,,,,E745S_01215,,,Higher in BH
