,ERR1797972_pass,ERR1797973_pass,ERR1797974_pass,ERR1797969_pass,ERR1797970_pass,ERR1797971_pass
E745S_01379,74863,70356,66400,29012,32265,30002
E745S_01380,520,505,482,341,448,363
E745S_01381,222,224,195,130,184,144
E745S_01382,373,397,295,335,400,350
E745S_01383,2008,2208,1918,2276,2647,2331
E745S_01384,1811,1748,1419,2567,2657,2464
E745S_01385,11646,11781,10279,2471,2796,2525
E745S_01386,1970,2155,2066,1078,1270,1201
E745S_01387,882,767,795,360,408,377
E745S_01388,845,913,795,334,405,376
E745S_01389,7101,6697,6144,2619,3089,3585
E745S_01390,8468,7500,7100,6314,7268,7932
E745S_01391,1608,1617,1418,1051,1173,1170
E745S_01392,271,279,271,63,58,80
E745S_01393,8120,7931,7323,3653,4021,3868
E745S_01394,6503,6308,5664,2137,2251,2423
E745S_01395,4559,5466,4676,964,1049,1054
E745S_01396,9944,10662,9470,15336,18033,17150
E745S_01397,711,772,844,1054,1116,1081
E745S_01407,2793,2398,2134,1888,2017,1995
E745S_01408,1600,1427,1406,1816,2009,1819
E745S_01409,5589,5153,4840,2370,2803,2390
E745S_01410,16621,15345,14169,29024,33238,30570
E745S_01411,6874,7046,6593,3240,3718,3458
E745S_01412,11576,10909,9736,5403,6376,6121
E745S_01413,1052,845,888,547,582,528
E745S_01414,4871,4105,4035,1956,2251,2110
E745S_01415,3799,3910,3427,1177,1379,1213
E745S_01416,2098,2194,2066,641,695,617
E745S_01417,9209,9452,8639,2839,3257,3072
E745S_01418,1167,1227,1105,309,342,304
E745S_01419,3276,2683,2483,824,907,814
E745S_01420,131,164,119,19,32,21
E745S_01421,6229,6081,5677,3900,4432,3898
E745S_01422,6624,6880,6250,1910,2269,1922
E745S_01423,2102,1678,1624,448,491,430
E745S_01424,1099,1294,1459,204,310,251
E745S_01425,10903,10764,9653,6704,7870,7352
E745S_01426,5295,5660,5106,3772,4580,4041
E745S_01427,1163,1168,1180,689,905,806
E745S_01428,7374,6802,6501,3761,4217,3773
E745S_01429,18914,17559,16094,9047,10200,9060
E745S_01430,42556,40266,34350,20506,23088,21432
E745S_01431,13972,12629,12762,3186,3861,3635
E745S_01432,38110,33705,30732,14581,14594,14664
E745S_01433,10552,12678,13029,3083,3961,3809
E745S_01434,4,3,1,3,0,1
E745S_01435,5251,5008,4394,4092,4438,4525
E745S_01436,2901,2814,2496,1924,2181,1949
E745S_01437,4389,4300,3862,1883,2254,1974
E745S_01438,12082,11751,10400,30246,35297,31838
E745S_01439,6570,5476,4792,2531,2812,2580
E745S_01440,11307,11408,10498,2206,2516,2378
E745S_01441,1888,2328,1932,2656,3160,3076
E745S_01442,1250,1387,1265,2882,3118,3132
E745S_01443,1165,1112,1093,734,950,831
E745S_01444,565,740,669,324,503,438
E745S_01445,700,728,662,139,159,163
E745S_01446,13,15,8,1,2,6
E745S_01447,289,330,291,81,140,121
E745S_01448,1274,1386,1180,410,443,451
E745S_01449,1227,1397,1271,414,491,385
E745S_01450,56,55,49,48,48,39
E745S_01451,111,126,90,65,63,74
E745S_01452,7,10,6,4,5,2
E745S_01453,153,135,109,94,80,106
E745S_01454,528,604,473,562,655,636
E745S_01455,518,566,493,399,463,413
E745S_01456,42,59,41,29,17,23
E745S_01457,18,32,21,10,19,8
E745S_01458,55,39,36,23,31,32
E745S_01459,146,110,150,67,95,95
E745S_01460,52885,55743,50044,22732,25770,23779
E745S_01461,5111,4750,4673,2908,3484,3232
E745S_01462,1825,1738,1479,1041,1180,1003
E745S_01463,974,1033,1000,642,689,692
E745S_01464,11095,9834,9230,2140,2440,2031
E745S_01465,9162,8127,7629,3301,3792,3211
E745S_01466,4279,2989,2910,1326,1421,1365
E745S_01467,38388,33906,30519,54098,62726,57110
E745S_01468,20727,17840,16338,16997,20115,17205
E745S_01469,11194,9691,8955,8221,10025,8938
E745S_01470,8086,7247,6745,5885,7008,6157
E745S_01471,9851,9686,9398,5900,7339,6447
E745S_01472,8001,7869,7495,5975,7105,6026
E745S_01473,7154,6567,6134,8077,8961,8081
E745S_01474,64985,80787,67996,17347,22895,20484
E745S_01475,6445,7081,6371,3127,3778,3407
E745S_01476,3322,3504,2913,1449,1923,1764
E745S_01477,62468,63297,59599,10171,11516,11107
E745S_01478,63089,58907,56924,11987,13638,13215
E745S_01479,150395,143162,139140,38504,42299,40490
E745S_01480,359315,365398,337073,98902,119594,114022
E745S_01481,11837,11244,11417,1460,1811,1787
E745S_01482,68715,54685,48414,11093,12158,11204
E745S_01483,29408,32817,31644,5688,6646,6142
E745S_01484,16125,16744,15381,3600,3781,3506
E745S_01485,53735,60091,55192,9735,11805,10718
E745S_01486,29359,30055,26323,3863,4543,3899
E745S_01487,31441,28051,26258,4187,5053,4571
E745S_01488,96954,79416,77838,14177,15880,14189
E745S_01489,44836,38039,34276,5947,7060,6772
E745S_01490,11192,14695,14367,1954,2161,1888
E745S_01491,59047,64997,52328,7999,9406,8746
E745S_01492,33915,32456,31519,4402,5189,4682
E745S_01493,72980,69255,61195,10140,10753,9767
E745S_01494,40106,37309,36769,4940,6031,5485
E745S_01495,25772,24181,20737,2636,3495,3059
E745S_01496,34186,37373,37256,4134,5565,4928
E745S_01497,48108,47264,42545,7385,8426,8166
E745S_01498,48234,44977,40259,5797,6731,6449
E745S_01499,64407,63011,55433,9174,9700,9694
E745S_01500,13467,13733,12153,1698,2091,1838
E745S_01501,53933,44810,46516,5890,6967,5887
E745S_01502,167885,157801,141098,19628,22067,20300
E745S_01503,51505,50221,45699,5074,5881,5786
E745S_01504,22673,17283,17450,2721,2879,2750
E745S_01505,21271,18631,19077,3175,3308,2874
E745S_01506,28537,30516,27408,4546,5430,4995
E745S_01507,24440,23888,22600,3089,4066,3532
E745S_01508,88466,71361,74049,12578,14519,13103
E745S_01509,105381,104265,90618,17402,18524,18286
E745S_01510,2986,2689,2404,2707,2982,2877
E745S_01511,3586,3329,2989,3345,3628,3325
E745S_01512,1543,1511,1369,1637,1946,1756
E745S_01513,1308,1272,1046,556,609,560
E745S_01514,1407,1265,1148,660,833,757
E745S_01515,247,211,236,141,197,178
E745S_01516,157,169,131,129,158,145
E745S_01517,29,33,30,32,50,43
E745S_01518,64,79,74,499,569,474
E745S_01519,55,53,44,1273,1562,1404
E745S_01520,90,93,71,19,25,18
E745S_01521,55,33,40,18,21,15
E745S_01522,4198,4246,3722,4483,5043,4598
E745S_01523,6557,7514,7391,4093,4370,4155
E745S_01524,2558,2524,2439,2032,2497,2265
E745S_01525,41124,42257,36654,32828,38227,34984
E745S_01526,7358,7006,6333,5423,6609,5622
E745S_01527,11716,11218,9760,6558,7194,6678
E745S_01528,9693,8702,9624,3160,3568,3144
E745S_01529,26,26,41,68,102,61
E745S_01530,2801,2301,2219,6051,6541,6286
E745S_01531,3841,3415,3197,6207,6879,6669
E745S_01532,1854,1752,1705,2959,3703,3407
E745S_01533,2002,1909,1742,2756,3189,3381
E745S_01534,13160,12769,11989,43742,52856,50157
E745S_01535,2990,3166,2768,1712,1946,1791
E745S_01536,16248,16133,14779,14569,16235,14610
E745S_01537,2513,2271,2008,1322,1682,1525
E745S_01538,4908,4378,4195,3019,3656,3340
E745S_01539,7438,7067,6351,5353,6102,5439
E745S_01540,578,622,637,1661,2223,1958
E745S_01541,89,85,84,4158,4993,4790
E745S_01542,204,190,144,8401,8822,9433
E745S_01543,142,163,109,5236,5623,5936
E745S_01544,366,351,291,16196,18580,20149
E745S_01545,30,43,34,9,13,14
E745S_01546,89,84,79,47,46,57
E745S_01547,90,110,97,19,24,25
E745S_01548,14,16,13,5,6,4
E745S_01549,2489,2928,2520,4388,4943,4315
E745S_01550,1688,1560,1500,3307,3764,3515
E745S_01551,15,10,18,5,5,9
E745S_01552,61,64,54,16,14,21
E745S_01553,143,163,140,46,60,56
E745S_01554,3,5,0,1,1,2
E745S_01555,17849,16997,16366,2704,3391,3200
E745S_01556,398,357,306,182,207,233
E745S_01557,571,621,553,195,283,279
E745S_01558,1806,1825,1660,1120,1200,1149
E745S_01559,117,142,124,96,101,95
E745S_01560,2299,2074,1946,1255,1453,1364
E745S_01561,1017,1060,1050,2461,2741,2659
E745S_01562,560,580,466,24911,32162,28402
E745S_01563,47662,54159,52342,8666,9930,9460
E745S_01564,1147,1276,1159,249,314,265
E745S_01565,1895,1650,1551,551,566,529
E745S_01566,2194,2215,2015,1114,1217,1203
E745S_01567,1467,1318,1295,486,536,514
E745S_01568,633,618,575,279,318,287
E745S_01569,8436,8589,7350,3527,4220,3807
E745S_01570,6792,6180,5431,3554,4011,3786
E745S_01571,2762,2619,2115,1173,1333,1326
E745S_01572,2623,3120,2771,392,389,403
E745S_01573,1306,1264,1193,572,717,607
E745S_01574,1322,1388,1201,2671,3054,2772
E745S_01575,2967,3326,3115,1809,2127,1941
E745S_01576,6046,5536,5006,3663,3942,3672
E745S_01577,2143,1969,1820,1420,1382,1342
E745S_01578,5033,4911,4618,3866,4025,3972
E745S_01579,5637,5877,4332,12224,13334,14104
E745S_01580,31,60,61,73,121,74
E745S_01581,2479,2659,2471,11952,14037,12945
E745S_01582,836,963,906,1601,1975,1666
E745S_01583,1185,1230,1304,1588,2320,1878
E745S_01584,4780,4743,4463,5578,5864,5458
E745S_01585,7741,7522,6993,8031,8841,8502
E745S_01586,1844,1763,1719,2402,2858,2615
E745S_01587,895,880,927,691,696,706
E745S_01588,1060,1062,929,551,576,588
E745S_01589,1923,1823,1649,1714,1856,1664
E745S_01590,1748,1725,1662,2088,2275,2218
E745S_01591,1604,1633,1617,398,524,485
E745S_01592,29907,28340,20251,9253,11646,11422
E745S_01593,22486,22303,20482,22816,24983,23291
E745S_01594,100,103,95,71,88,97
E745S_01595,7853,7723,6941,6826,8024,7391
E745S_01596,1066,1053,955,902,990,909
E745S_01597,3109,3022,2899,4771,5817,5429
E745S_01598,976,947,896,2600,2817,2688
E745S_01599,2618,2424,2162,9089,10369,9649
E745S_01600,2178,2432,2134,2137,2365,2135
E745S_01601,827,873,794,800,875,825
E745S_01602,5602,5725,5664,1730,1882,1694
E745S_01603,8,6,9,1,4,2
E745S_01605,15,20,15,3,10,3
E745S_01606,677,555,530,261,251,235
E745S_01607,871,905,811,433,536,519
E745S_01608,1417,1490,1324,628,700,634
E745S_01609,631,594,603,211,237,267
E745S_01610,728,717,582,1506,1654,1490
E745S_01611,60,50,50,75,94,80
E745S_01612,7610,7374,6590,2520,3126,2790
E745S_01613,5241,5503,4739,1932,2226,1875
E745S_01614,29375,30190,28051,6363,7287,6897
E745S_01615,471,476,419,475,534,560
E745S_01616,2759,2916,2623,3327,3783,3572
E745S_01617,624,686,669,768,932,856
E745S_01618,134,182,164,413,509,459
E745S_01619,908,873,754,3217,3516,3074
E745S_01620,8364,8289,7221,5756,6804,6400
E745S_01621,5956,5170,4735,1406,1662,1533
E745S_01622,433,512,473,576,788,604
E745S_01623,664,721,719,1174,1218,1116
E745S_01624,34,35,38,18,20,24
E745S_01625,49,49,51,30,28,35
E745S_01626,166,156,126,142,182,182
E745S_01627,467,498,420,638,697,667
E745S_01628,148,151,144,262,245,243
E745S_01629,744,801,722,1336,1536,1447
E745S_01630,13012,13352,11938,5742,6495,5820
E745S_01631,215,222,219,210,210,203
E745S_01632,4027,4154,3599,3652,3941,3980
E745S_01633,8429,7969,6921,13513,14849,14782
E745S_01634,1922,1927,1914,370,483,372
E745S_01635,13473,14044,11974,9228,9457,9309
E745S_01636,3,7,3,0,4,1
E745S_01637,3387,3394,2983,86914,100387,104883
E745S_01638,65,83,77,152,228,170
E745S_01639,777,1331,858,468,771,704
E745S_01640,91,97,78,101,95,98
E745S_01641,41,39,40,18,32,32
E745S_01642,26,22,15,20,23,23
E745S_01643,24,16,16,10,19,18
E745S_01644,27,40,28,31,44,38
E745S_01645,335,356,318,243,326,290
E745S_01646,520,463,422,1325,1372,1415
E745S_01647,461,394,380,890,879,1040
E745S_01648,356,408,353,441,501,517
E745S_01649,3,4,5,2,1,4
E745S_01650,592,642,630,345,390,350
E745S_01651,5177,5089,4406,2446,2605,2506
E745S_01652,3250,3123,2750,1068,1343,1029
E745S_01653,1666,1733,1591,418,436,433
E745S_01654,2722,2505,2192,405,509,484
E745S_01655,2318,2074,2077,543,606,550
E745S_01656,917,971,952,640,760,763
E745S_01657,557,619,524,331,423,374
E745S_01658,60693,61014,54264,16749,19004,18411
E745S_01659,12423,12319,11655,2270,2736,2498
E745S_01660,22424,23177,20488,3542,4241,4295
E745S_01661,98,94,90,51,55,61
E745S_01662,165,155,158,79,88,94
E745S_01663,10,16,11,8,8,9
E745S_01664,456,529,479,486,567,528
E745S_01665,82,73,108,1017,1204,1054
E745S_01666,363,319,257,832,927,747
E745S_01667,595,488,473,1142,1231,1059
E745S_01668,17258,16137,14079,22353,24645,22603
E745S_01669,26,31,34,29,35,19
E745S_01670,36,28,27,56,71,60
E745S_01671,3682,3788,3763,2080,2470,2080
E745S_01672,263,324,315,276,437,359
E745S_01673,3447,3667,3278,6842,7413,6960
E745S_01674,1372,1341,1321,2760,2972,2638
E745S_01675,2799,2684,2378,7550,8016,7864
E745S_01676,8648,9206,8206,2531,3055,2791
E745S_01677,7233,7413,6609,6168,7072,6730
E745S_01678,490,512,500,199,285,238
E745S_01679,18,20,17,12,16,13
E745S_01680,8,18,17,3,10,6
E745S_01681,1348,1518,1362,861,1026,941
E745S_01682,209,198,230,159,244,199
E745S_01683,2204,2171,1970,1555,2022,1673
E745S_01684,213,235,187,207,218,259
E745S_01685,144,173,154,104,148,105
E745S_01687,60,60,68,80,103,84
E745S_01688,4,10,2,4,11,8
E745S_01690,4,8,7,3,3,2
E745S_01691,5,6,8,7,10,8
E745S_01693,20,22,32,17,17,18
E745S_01694,112,136,103,130,141,128
E745S_01695,1360,1417,1308,1052,1245,1089
E745S_01696,2018,1984,1781,2176,2501,2222
E745S_01697,90,113,107,57,66,68
E745S_01698,25,24,27,25,30,21
E745S_01699,30,48,24,19,23,18
E745S_01700,109,139,104,94,87,95
E745S_01701,258,229,225,200,248,275
E745S_01702,2324,2400,2294,2051,2260,2065
E745S_01703,885,1201,918,1578,2039,1898
E745S_01704,227,170,236,188,204,177
E745S_01705,450,482,406,219,290,234
E745S_01706,4475,4916,3891,3859,4825,4217
E745S_01707,88,99,101,79,64,77
E745S_01708,86,60,67,34,58,58
E745S_01709,31,35,28,24,22,21
E745S_01710,149,103,96,90,82,86
E745S_01711,257,200,171,107,141,121
E745S_01712,220,160,161,136,154,143
E745S_01713,13,15,8,7,11,6
E745S_01714,70,55,41,65,74,71
E745S_01715,420,397,348,512,568,562
E745S_01716,467,537,448,334,440,403
E745S_01717,1216,1254,1208,1785,2199,2022
E745S_01718,362,362,393,468,523,471
E745S_01719,165,194,145,49,69,52
E745S_01720,20,24,26,6,7,12
E745S_01721,12,16,11,6,6,6
E745S_01723,493,486,452,125,130,109
E745S_01724,389,403,374,86,93,85
E745S_01725,1637,1479,1300,465,470,440
E745S_01726,64,56,59,78,117,98
E745S_01727,93,90,73,130,120,112
E745S_01728,1462,1642,1512,532,644,583
E745S_01729,4415,4471,4404,575,643,585
E745S_01730,243,262,250,176,159,201
E745S_01731,675,658,466,147,233,184
E745S_01732,555,546,496,1239,1438,1227
E745S_01733,907,969,809,1868,2339,1973
E745S_01734,507,548,462,1433,1551,1513
E745S_01735,330,307,262,1065,1142,1159
E745S_01736,219,237,199,320,339,337
E745S_01737,54,45,35,98,110,67
E745S_01738,12,7,14,13,13,13
E745S_01739,2286,2239,1878,1071,1221,1138
E745S_01740,706,676,714,639,774,742
E745S_01741,54,75,66,72,87,73
E745S_01742,124,156,125,119,114,138
E745S_01743,101,103,87,60,79,75
E745S_01744,338,326,301,367,455,433
E745S_01745,1439,1555,1395,2105,2428,2239
E745S_01746,597,491,523,996,990,899
E745S_01747,293,243,273,397,417,350
E745S_01748,1048,964,850,1686,1942,1822
E745S_01749,1141,1190,1007,1703,2055,1834
E745S_01750,1170,996,1057,1733,1974,1822
E745S_01751,664,848,576,417,526,559
E745S_01752,640,666,529,1095,1209,1277
E745S_01753,194,220,158,606,616,615
E745S_01754,458,442,456,67,73,76
E745S_01755,183,207,188,436,528,503
E745S_01756,469,499,446,638,708,649
E745S_01757,137,138,109,30,48,35
E745S_01758,5,2,1,0,2,0
E745S_01759,1,2,3,3,2,3
E745S_01760,355,314,314,153,161,167
E745S_01761,1495,1619,1419,782,906,763
E745S_01762,11441,11560,10794,6347,7709,7502
E745S_01763,10800,11072,9977,311,355,356
E745S_01764,3652,3609,3550,164,206,178
E745S_01765,398,404,345,35,49,41
E745S_01766,368,302,271,29,43,22
E745S_01767,2587,2803,2703,661,731,740
E745S_01768,373,475,410,191,225,183
E745S_01769,68,69,58,56,33,43
E745S_01770,264,240,228,229,275,273
E745S_01771,527,508,428,724,836,852
E745S_01772,93,92,88,65,95,79
E745S_01773,2374,2591,2325,3633,4082,3824
E745S_01774,156,167,147,142,163,162
E745S_01775,472,441,407,517,575,525
E745S_01776,77,78,85,79,84,74
E745S_01777,180,188,162,56,64,49
E745S_01778,411,470,452,1115,1334,1247
E745S_01779,783,823,755,201,306,286
E745S_01780,1856,1846,1889,76,110,83
E745S_01781,3176,3083,2961,249,262,265
E745S_01782,104,105,103,80,81,76
E745S_01783,78,101,82,38,68,63
E745S_01784,158,191,178,128,128,125
E745S_01785,306,340,320,217,211,214
E745S_01786,194,204,172,146,157,144
E745S_01787,2804,2712,2474,2810,3054,2949
E745S_01788,279,263,278,331,407,361
E745S_01789,972,920,835,1575,1873,1712
E745S_01790,843,841,726,149,176,195
E745S_01791,248,245,224,19,22,18
E745S_01792,436,464,480,309,440,311
E745S_01793,630,617,627,424,501,490
E745S_01794,2001,2179,1935,1081,1333,1260
E745S_01795,1386,1227,1145,663,785,700
E745S_01796,1183,1304,1106,1779,2194,1942
E745S_01797,1245,1178,1225,134,152,129
E745S_01798,2747,2926,2724,397,557,562
E745S_01799,7131,6943,6091,1884,2451,2275
E745S_01800,628,658,599,259,299,290
E745S_01801,8882,9055,8316,15014,16902,15824
E745S_01802,24,30,19,124,145,193
E745S_01803,34,57,43,508,523,638
E745S_01804,1321,1429,1115,2842,2957,3495
E745S_01805,1994,2002,1828,652,780,728
E745S_01806,516,541,560,205,271,261
E745S_01807,179,199,189,80,102,104
E745S_01808,1138,1107,1022,712,818,726
E745S_01809,5358,5319,4654,610,739,664
E745S_01810,419,487,372,572,693,614
E745S_01811,413,351,321,71,105,98
E745S_01812,1118,775,859,260,250,271
E745S_01813,1464,1020,1251,489,566,553
E745S_01814,440,294,329,207,213,217
E745S_01815,5039,3144,3785,2705,2798,3041
E745S_01816,867,581,683,255,226,274
E745S_01817,4391,4048,4038,795,963,859
E745S_01818,1145,1312,1097,567,843,751
E745S_01819,3217,3173,2868,2686,2986,2688
E745S_01820,282,250,214,2439,2679,2416
E745S_01821,87,108,107,930,1099,1070
E745S_01822,158,169,157,1658,2009,1713
E745S_01823,9133,9435,8536,4083,4603,4334
E745S_01824,9438,10515,9423,2221,2323,2433
E745S_01825,6847,8385,7077,1749,2005,1922
E745S_01826,10657,11841,10604,3939,4896,4207
E745S_01827,711,640,563,5781,6673,6867
E745S_01828,622,579,525,4475,4691,4827
E745S_01829,567,547,523,3054,3224,3594
E745S_01830,458,469,402,2375,2381,2492
E745S_01831,712,561,487,2373,2507,2643
E745S_01832,974,899,809,4149,4226,4455
E745S_01833,1709,1645,1337,6488,6447,6946
E745S_01834,906,778,757,3307,3481,3726
E745S_01835,1763,1578,1492,5263,5266,5686
E745S_01836,3232,3358,2834,4756,5266,4990
E745S_01838,20,18,16,3,1,1
E745S_01839,591,569,536,567,615,577
E745S_01840,522,577,492,366,363,338
E745S_01841,1582,1616,1501,1315,1487,1424
E745S_01842,311,295,276,183,197,212
E745S_01843,271,248,202,86,90,106
E745S_01844,1675,2030,1577,24,48,36
E745S_01845,277,285,243,241,249,243
E745S_01846,646,674,650,369,394,393
E745S_01847,200,184,170,63,94,91
E745S_01848,2333,2190,1993,3582,3640,3596
E745S_01849,1940,1867,1896,2791,3408,3248
E745S_01850,945,879,839,592,730,594
E745S_01851,750,762,670,587,708,639
E745S_01852,2848,2634,2162,2023,2560,2116
E745S_01853,1917,1960,1727,2145,2242,2242
E745S_01854,4206,4086,3669,5875,6404,5667
E745S_01855,8653,9857,10085,3758,4960,4389
E745S_01856,518,522,463,888,971,1048
E745S_01857,1397,1446,1327,294,369,347
E745S_01858,438,325,401,54,80,79
E745S_01859,779,729,580,733,839,792
E745S_01860,978,1005,828,2313,2676,2639
E745S_01861,1491,1571,1269,3250,3566,3598
E745S_01862,92,83,98,218,255,238
E745S_01863,1348,1246,1045,9776,10389,8554
E745S_01864,250,213,187,3543,3733,3278
E745S_01865,157,146,155,2756,2868,2502
E745S_01866,1298,1191,1203,424,498,430
E745S_01867,250,245,201,311,362,315
E745S_01868,83,57,69,315,302,328
E745S_01869,32,24,23,17,21,11
E745S_01870,841,864,678,313,390,355
E745S_01871,475,483,430,274,334,294
E745S_01872,22,31,22,14,32,34
E745S_01873,44,67,62,34,48,39
E745S_01874,87,76,77,1135,1087,1099
E745S_01875,238,215,203,662,698,701
E745S_01876,70,60,71,204,217,223
E745S_01877,54,61,51,106,112,92
E745S_01878,52,47,47,82,94,76
E745S_01879,96,82,63,104,135,107
E745S_01880,11,6,7,8,11,11
E745S_01881,105,85,90,58,71,70
E745S_01882,8,10,7,3,12,15
E745S_01883,7,4,3,2,3,3
E745S_01884,35,32,21,17,26,30
E745S_01885,13,10,12,0,5,4
E745S_01886,2334,2632,2170,1819,2236,2003
E745S_01887,2321,2336,2032,1776,2098,1788
E745S_01888,10171,11441,11195,1628,1992,1794
E745S_01889,9170,7271,6837,1103,1318,1318
E745S_01890,4969,4982,4442,7461,8057,7566
E745S_01891,2510,2686,2388,3006,3657,3358
E745S_01892,2334,1966,1650,667,782,766
E745S_01893,574,560,513,199,253,227
E745S_01894,3194,3012,2718,1404,1442,1346
E745S_01895,2197,1772,1614,1225,1295,1239
E745S_01896,160,165,174,95,80,97
E745S_01897,7011,7556,6846,5711,6731,6313
E745S_01898,2223,1913,1774,2297,2597,2467
E745S_01899,7971,6943,6777,7716,8536,7649
E745S_01900,3160,3188,2903,922,1044,1025
E745S_01901,1912,2129,1867,988,1046,1005
E745S_01902,432,411,378,489,496,468
E745S_01903,295,309,259,739,742,772
E745S_01904,6070,6588,5961,5441,6768,6456
E745S_01905,106,109,99,2323,2775,2767
E745S_01906,130,119,117,3096,3334,3563
E745S_01907,150,168,143,566,689,642
E745S_01908,1017,1000,830,789,995,873
E745S_01909,1392,1315,1256,1133,1132,1009
E745S_01910,6249,5927,5619,7022,7813,7108
E745S_01911,1976,1753,1796,554,628,547
E745S_01912,818,965,825,1647,1789,1709
E745S_01913,1263,1424,1301,166,201,184
E745S_01914,141,191,167,60,79,63
E745S_01915,1216,1339,1251,1368,1516,1468
E745S_01916,9587,8909,7509,4004,4147,4092
E745S_01917,1276,1062,1031,503,537,504
E745S_01918,2929,2723,2445,1419,1483,1321
E745S_01919,2128,2384,2193,352,400,399
E745S_01920,2416,2219,1853,664,690,659
E745S_01921,3454,3135,3044,2401,2662,2378
E745S_01922,1989,2118,1927,1540,1895,1592
E745S_01923,4611,4400,3926,6835,7421,6623
E745S_01924,2179,2117,1979,3615,3968,3500
E745S_01925,1789,1815,1480,2048,2350,2222
E745S_01926,6360,6206,5303,8824,11100,9421
E745S_01927,856,984,881,1485,1827,1659
E745S_01928,413,449,423,342,388,304
E745S_01929,147,151,130,60,76,67
E745S_01930,505,540,465,311,320,356
E745S_01931,349,346,340,276,282,320
E745S_01932,12,7,10,3,2,3
E745S_01933,69,78,61,23,35,16
E745S_01934,21,25,19,5,8,8
E745S_01935,65,69,73,9,16,18
E745S_01936,2145,2267,1987,1174,1346,1137
E745S_01937,2263,2187,2057,1538,1796,1481
E745S_01938,1679,1883,1675,1245,1504,1394
E745S_01939,6261,6345,5642,6348,6716,6138
E745S_01941,294,293,298,225,235,224
E745S_01942,92,95,103,61,60,57
E745S_01943,48,67,52,29,26,25
E745S_01944,120,134,107,121,158,101
E745S_01945,14695,16153,14202,1982,2414,2069
E745S_01946,99,120,106,239,264,226
E745S_01947,1390,1246,1049,2057,2364,1984
E745S_01948,108,108,80,121,133,125
E745S_01949,6,21,11,31,33,34
E745S_01950,18,27,18,20,42,33
E745S_01951,117,142,120,129,144,156
E745S_01952,344,413,385,386,420,436
E745S_01953,272,223,279,103,134,123
E745S_01954,32,50,43,22,25,28
E745S_01955,533,563,537,828,951,872
E745S_01956,1359,1476,1389,2790,3108,2827
E745S_01957,980,1087,783,3118,3452,3800
E745S_01958,2,1,1,2,1,3
E745S_01959,160,142,121,254,277,285
E745S_01960,381,344,305,266,336,313
E745S_01961,518,588,497,770,1048,904
E745S_01962,635,572,518,958,1154,1030
E745S_01963,139,155,133,356,377,356
E745S_01964,4007,3679,3756,89,124,125
E745S_01965,5455,5458,4963,238,272,265
E745S_01966,6986,6513,6091,417,480,417
E745S_01967,711,802,709,533,601,499
E745S_01968,1478,1483,1460,1254,1493,1185
E745S_01969,644,635,638,263,242,263
E745S_01970,708,741,686,296,335,304
E745S_01971,1131,1065,1083,271,347,273
E745S_01972,1651,1879,1647,1043,1222,1151
E745S_01973,94,90,89,101,133,112
E745S_01974,1027,944,882,4674,5089,4660
E745S_01975,4027,3834,3594,614,721,778
E745S_01976,6052,5344,4935,1433,1611,1520
E745S_01977,1588,1468,1422,771,904,870
E745S_01978,115,87,98,43,56,46
E745S_01979,48,43,34,21,28,20
E745S_01980,126,136,145,76,72,65
E745S_01981,125,170,120,91,104,106
E745S_01982,1741,1793,1569,1794,2204,1917
E745S_01983,668,710,668,3124,3438,3046
E745S_01984,196,156,154,2310,2940,2599
E745S_01985,646,664,519,2022,2159,2096
E745S_01986,5071,5116,4320,3622,4652,3884
E745S_01987,594,566,493,802,952,857
E745S_01988,841,796,745,2344,2566,2601
E745S_01989,1211,1217,1145,1279,1354,1247
E745S_01990,101,97,96,79,92,88
E745S_01991,304,266,268,171,190,196
E745S_01992,885,710,657,543,623,614
E745S_01993,1637,1394,1301,626,725,649
E745S_01994,5012,4748,4129,3686,4057,3759
E745S_01995,1034,1084,950,893,1105,973
E745S_01996,1722,1956,1760,1368,1733,1575
E745S_01997,182,249,201,80,98,83
E745S_01998,4514,4335,3841,1401,1661,1560
E745S_01999,4938,4664,4299,2540,2913,2695
E745S_02000,2679,2875,2718,1644,1857,1782
E745S_02001,1767,1766,1578,318,329,348
E745S_02002,2608,2566,2407,516,623,559
E745S_02003,555,548,474,175,199,168
E745S_02004,1368,1149,1116,515,579,515
E745S_02005,1516,1721,1427,846,968,984
E745S_02006,5394,5081,4576,3671,4062,3768
E745S_02007,544,548,509,650,756,639
E745S_02008,2787,2663,2454,2673,3162,2889
E745S_02009,564,599,573,442,519,473
E745S_02010,7287,7528,6716,1878,2095,1932
E745S_02011,550,428,343,322,405,389
E745S_02012,797,633,588,877,1012,884
E745S_02013,703,710,672,1114,1294,1142
E745S_02014,1069,998,1014,1236,1407,1259
E745S_02015,635,646,582,1058,1263,1040
E745S_02016,6758,6170,5461,2170,2414,2193
E745S_02017,38,35,28,62,48,66
E745S_02018,114,160,117,107,123,120
E745S_02019,815,869,747,1835,1945,1793
E745S_02020,449,455,401,349,420,379
E745S_02021,1002,917,805,671,817,955
E745S_02022,1944,1908,1886,2955,3335,3088
E745S_02023,1023,926,868,1319,1483,1339
E745S_02024,469,505,439,559,625,531
E745S_02025,779,712,712,736,885,840
E745S_02026,1267,1242,1019,1237,1520,1327
E745S_02027,816,871,795,997,1217,1075
E745S_02028,638,577,546,111,127,96
E745S_02029,1582,1189,1104,666,751,644
