,ERR1797972_pass,ERR1797973_pass,ERR1797974_pass,ERR1797969_pass,ERR1797970_pass,ERR1797971_pass
E745S_00216,4169,3642,3400,1207,1462,1237
E745S_00217,787,844,787,238,277,250
E745S_00218,2306,2653,2215,711,845,738
E745S_00219,403,408,415,176,206,209
E745S_00220,39,43,37,49,54,47
E745S_00221,43,67,57,82,89,105
E745S_00222,110,121,110,48,46,47
E745S_00223,71,69,74,34,31,40
E745S_00224,21,21,30,13,29,22
E745S_00225,44,50,40,64,65,76
E745S_00226,89,85,80,79,84,79
E745S_00227,32,24,25,27,32,28
E745S_00228,862,881,808,569,754,667
E745S_00229,586,541,522,354,401,381
E745S_00230,1301,1415,1195,763,831,755
E745S_00231,1063,1084,922,518,537,472
E745S_00232,1508,1532,1350,572,626,649
E745S_00233,34588,33789,30768,7680,8785,7881
E745S_00234,768,715,701,74,94,68
E745S_00236,1354,1252,1089,1465,1754,1368
E745S_00237,1102,944,837,2093,2271,2121
E745S_00238,3862,3867,3372,2639,2912,2798
E745S_00239,1915,2116,1690,1296,1504,1352
E745S_00240,1905,1706,1517,1068,1298,1124
E745S_00241,13910,14431,13326,5245,6162,5437
E745S_00242,2129,2406,2153,2581,3206,2780
E745S_00243,6861,7188,5981,10430,12721,11598
E745S_00244,5591,5669,4990,4813,5741,4972
E745S_00245,2022,1881,1723,2800,2894,2657
E745S_00246,582,495,453,779,813,707
E745S_00247,2236,2192,2111,11116,12019,10206
E745S_00248,1048,1024,973,2172,2546,2243
E745S_00249,3591,4015,3686,6048,7196,6478
E745S_00250,250,257,270,284,385,356
E745S_00251,3837,3744,3363,6809,7678,7268
E745S_00252,2695,2925,2353,5585,6324,5948
E745S_00254,139,142,124,125,118,119
E745S_00255,275,282,267,236,239,200
E745S_00256,14,7,13,9,10,12
E745S_00257,338,332,302,274,325,289
E745S_00258,917,975,850,1093,1229,1190
E745S_00259,2417,2485,2045,580,671,723
E745S_00260,538,499,468,184,218,186
E745S_00261,1091,1165,1022,350,455,414
E745S_00262,3548,3476,3223,2049,2176,2186
E745S_00263,650,716,641,714,933,857
E745S_00264,1035,943,867,1576,1535,1519
E745S_00265,1568,1540,1449,2183,2569,2165
E745S_00266,7881,7861,6974,4332,4996,4496
E745S_00267,87,79,92,20,29,26
E745S_00268,2,2,1,3,5,1
E745S_00269,4,11,8,4,6,2
E745S_00270,523,609,492,1837,2070,1980
E745S_00271,184,227,191,282,309,271
E745S_00272,458,386,377,8463,9704,8996
E745S_00273,31,15,21,10,6,10
E745S_00274,51,27,41,33,31,32
E745S_00275,5,6,5,3,9,4
E745S_00276,11,15,9,9,7,1
E745S_00277,37,32,27,24,28,25
E745S_00279,26,20,18,27,21,24
E745S_00280,45,65,52,40,45,37
E745S_00281,1435,1639,1521,205,278,256
E745S_00282,719,492,388,2419,2653,2567
E745S_00283,61,55,47,157,200,169
E745S_00284,56,59,62,151,164,164
E745S_00285,289,330,308,617,726,678
E745S_00286,9,9,10,9,10,8
E745S_00287,226,276,249,34,40,33
E745S_00288,56,56,71,52,41,52
E745S_00289,94,91,85,111,123,125
E745S_00290,318,268,259,411,403,438
E745S_00291,354,356,349,155,182,182
E745S_00292,13,6,4,17,21,17
E745S_00293,2,3,1,9,13,16
E745S_00295,3,1,4,2,1,0
E745S_00297,3,4,3,2,2,2
E745S_00298,2,3,4,2,3,1
E745S_00299,1,4,2,1,1,1
E745S_00301,6,2,3,2,5,2
E745S_00302,21,19,14,16,15,12
E745S_00303,18,18,21,7,7,12
E745S_00304,242,272,310,273,360,300
E745S_00305,15553,19162,18342,8253,12055,10297
E745S_00306,23,19,24,10,30,22
E745S_00307,170,186,166,266,310,301
E745S_00308,301,281,274,304,365,373
E745S_00309,158,189,194,214,257,223
E745S_00310,198,155,171,282,255,256
E745S_00312,70,86,84,2231,2304,2221
E745S_00313,101,99,79,1606,1731,1696
E745S_00314,51,52,43,6759,7214,7064
E745S_00315,41,41,35,4357,4553,4450
E745S_00316,9,4,6,424,473,397
E745S_00317,64,57,57,6767,6673,6259
E745S_00318,168,145,98,19565,17769,17928
E745S_00319,521,424,445,4697,4513,4384
E745S_00320,48,32,31,514,578,547
E745S_00321,0,2,1,16,12,14
E745S_00322,1151,1047,941,19179,18731,17417
E745S_00323,241,276,262,2623,2797,2749
E745S_00324,144,203,166,21,22,23
E745S_00325,60,69,61,14,31,27
E745S_00326,150,132,132,88,81,74
E745S_00327,35,25,34,33,52,28
E745S_00328,1745,1590,1471,12965,12601,12271
E745S_00329,666,533,401,4996,4669,4771
E745S_00330,1266,1512,1318,10169,11536,10216
E745S_00331,161,145,168,1192,1186,1159
E745S_00333,79,53,75,94,111,93
E745S_00334,100,111,118,161,212,177
E745S_00335,65,77,65,12,28,26
E745S_00336,48,55,44,30,28,18
E745S_00337,5658,5618,4727,540,613,573
E745S_00338,374,391,321,92,104,89
E745S_00339,693,592,479,127,118,104
E745S_00340,3843,4130,3496,1011,1088,1057
E745S_00341,236,277,306,47,67,58
E745S_00342,1030,951,869,711,852,792
E745S_00343,200,206,193,209,236,233
E745S_00344,66777,65109,58641,85964,98074,87272
E745S_00345,526,560,516,473,593,563
E745S_00346,200,222,212,133,172,156
E745S_00347,576,631,588,801,960,881
E745S_00348,325,316,286,120,110,123
E745S_00349,19116,21610,17884,678,792,682
E745S_00350,5888,6719,5739,135,195,193
E745S_00351,188,238,190,120,144,174
E745S_00352,261,329,276,72,59,69
E745S_00353,114,131,106,29,35,35
E745S_00354,396,404,354,96,99,70
E745S_00355,129,150,156,76,98,72
E745S_00356,167,169,139,64,88,90
E745S_00357,981,883,819,154,174,147
E745S_00358,1130,1192,1019,651,771,690
E745S_00359,106,135,94,252,265,233
E745S_00360,70,78,59,87,95,77
E745S_00361,187,202,196,515,719,628
E745S_00362,24,17,18,66,72,93
E745S_00363,89,73,62,895,944,1219
E745S_00364,83,74,74,95,114,123
E745S_00365,24,33,32,19,13,19
E745S_00366,39,42,36,8,14,11
E745S_00367,7168,7859,7140,1167,1348,1314
E745S_00368,2944,2851,2661,2240,2441,2248
E745S_00369,6633,6588,5607,5342,6262,5818
E745S_00370,2253,2054,1955,4119,4426,3497
E745S_00371,773,748,657,1670,1992,1485
E745S_00372,434,349,275,952,1186,990
E745S_00373,286,325,309,129,177,147
E745S_00374,992,954,886,805,893,835
E745S_00375,815,840,792,696,757,705
E745S_00376,944,954,866,42,56,44
E745S_00377,3558,3764,3544,348,420,365
E745S_00378,5745,5849,5523,479,622,541
E745S_00379,2023,1990,2124,231,308,259
E745S_00380,2024,2200,1978,1833,2095,2012
E745S_00381,3182,3358,3255,3586,3947,3455
E745S_00382,620,714,617,170,197,207
E745S_00383,961,988,810,234,284,296
E745S_00384,1115,1043,1033,366,422,345
E745S_00385,3032,3857,3327,407,471,449
E745S_00386,440,381,410,38,43,45
E745S_00387,6993,6834,6802,989,1189,1041
E745S_00388,4267,4435,3927,555,627,521
E745S_00389,1739,1975,1484,935,1040,999
E745S_00390,5007,5306,4841,4739,5293,4785
E745S_00391,2270,2297,2018,4407,4940,4587
E745S_00392,843,782,712,2849,3571,3093
E745S_00393,1422,1345,1192,3902,4564,4370
E745S_00394,1872,2208,1824,2999,4049,3508
E745S_00395,1581,1449,1385,4055,4583,4268
E745S_00396,366,365,318,1209,1472,1327
E745S_00397,522,529,438,21224,21851,20743
E745S_00398,343,355,316,554,591,539
E745S_00399,272,280,274,330,445,442
E745S_00400,239,265,196,20,22,21
E745S_00401,15,16,24,1,0,1
E745S_00402,44,47,28,5,4,2
E745S_00403,241,254,225,289,319,293
E745S_00404,71,63,75,11,15,15
E745S_00405,10,6,14,2,4,1
E745S_00406,11,13,9,3,8,5
E745S_00407,168,152,138,70,67,73
E745S_00408,42,37,42,25,27,16
E745S_00409,22,22,34,24,15,13
E745S_00410,100,133,122,55,71,58
E745S_00411,310,297,253,158,217,186
E745S_00412,496,592,591,92,111,108
E745S_00413,3476,3446,3131,789,1030,798
E745S_00414,4400,4097,4019,1333,1481,1427
E745S_00415,184,186,149,4011,3994,4667
E745S_00416,21,24,12,93,116,155
E745S_00417,57,59,53,127,103,141
E745S_00418,164,153,135,78,80,68
E745S_00419,35,37,36,9,16,18
E745S_00420,5,5,8,2,4,3
E745S_00422,4577,4553,4232,5794,7477,6516
E745S_00423,46,51,48,100,141,131
E745S_00424,298,307,307,491,626,546
E745S_00425,1001,737,693,187,250,185
E745S_00426,6942,6085,5724,1600,1808,1640
E745S_00427,2110,1820,1625,2565,2541,2563
