gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
E745S_00712,5070.10725105885,-1.78009539018936,0.0607692008913452,-29.2927233545848,1.28387672489012e-188,1.29320593292565e-187
E745S_01658,37008.1951106794,-1.50898708249141,0.0515361285690497,-29.2801792526891,1.85462728757213e-188,1.86166208073189e-187
E745S_01161,14107.5673989018,-1.5431360033971,0.0528162962375726,-29.2170430970005,1.17809310149665e-187,1.17446199262217e-186
E745S_00379,1099.46315245178,-2.76029162475103,0.0947402232388364,-29.1353717606559,1.28013377037913e-186,1.25894236674786e-185
E745S_01294,1976.27275647559,-2.15872066010741,0.0741491550117342,-29.1132199654303,2.44215007802006e-186,2.39363598556108e-185
E745S_00570,16160.4894653556,-1.52450086848922,0.0525179399882497,-29.0281924391991,2.90090264436127e-185,2.82425672165072e-184
E745S_00679,3175.90217516197,-2.02177924443731,0.0698413014768019,-28.9481897056121,2.95744195539724e-184,2.84129159477273e-183
E745S_01480,224350.929225944,-1.48748917182936,0.0517474240249602,-28.7451829701103,1.04045871393151e-181,9.89795854985172e-181
E745S_02010,4401.27698473488,-1.67557133927847,0.0587528211301456,-28.5189937614544,6.81169947682978e-179,6.35540294136266e-178
E745S_00897,4321.5228349196,-1.70781093607899,0.060151650760242,-28.3917550806068,2.55628826603879e-177,2.3548592222908e-176
E745S_01889,4282.11904295664,-2.44749426960569,0.0866246264835291,-28.2540239301471,1.27020859163614e-175,1.16642814203559e-174
E745S_00500,1690.34758240312,-2.11056329879098,0.0749618392551662,-28.1551696137915,2.07142819537218e-174,1.8962036090341e-173
E745S_01919,1249.58191189004,-2.35391967512798,0.0839800085721375,-28.0295241111579,7.09784771649066e-173,6.43670863012595e-172
E745S_01464,5867.39293141917,-1.9988928700248,0.0713305088471906,-28.0229722503027,8.53050755712931e-173,7.71189673875883e-172
E745S_00661,1491.57371569209,-2.07332537690055,0.0743097713076719,-27.9011136814856,2.58633067321614e-171,2.32370635485562e-170
E745S_01283,896.371172884579,-2.54376708766688,0.0914144729371743,-27.8267434677998,2.05970669526842e-170,1.84486344305427e-169
E745S_00117,2895.21574661695,-1.86455030541385,0.067023643743876,-27.8192918388478,2.5349084716935e-170,2.26353330095086e-169
E745S_02055,16109.7475958359,-2.10341287305592,0.075892795329764,-27.7155804304786,4.53170262956109e-169,4.02188608373547e-168
E745S_01166,3773.62806819105,-1.75087378092,0.0632699949096936,-27.6730507631469,1.47384460684192e-168,1.3040612919504e-167
E745S_00376,455.456442503522,-4.09453492487855,0.148543981360927,-27.5644619685384,2.96921676561723e-167,2.60343072431077e-166
E745S_01824,5818.36271796749,-1.88191214474225,0.0685929995982596,-27.4359213879605,1.02293967804596e-165,8.8888877695277e-165
E745S_02677,2066.4658043282,-2.63543467819167,0.0964879888321093,-27.3136035903636,2.92405839773058e-164,2.53331368922432e-163
E745S_02002,1481.94973646829,-1.97055893478066,0.0721607074493637,-27.3079215051132,3.41563046848256e-164,2.95041551743404e-163
E745S_00881,6736.04968563755,-1.49793743080809,0.0551689134547547,-27.1518385446648,2.40855961561312e-162,2.06823511535392e-161
E745S_01278,10643.7944607417,-1.44176717775385,0.05325718152287,-27.0717889405153,2.11631921252489e-161,1.81194271401763e-160
E745S_01797,642.861602433682,-2.94880212944196,0.108992584112762,-27.0550712550423,3.32920094380339e-161,2.84202461800929e-160
E745S_01431,8029.59369815991,-1.69509195986086,0.0626751030032354,-27.0456988283426,4.29136819690233e-161,3.65268211145693e-160
E745S_01073,4698.9534080144,-1.84350521880397,0.0682937613382879,-26.9937573019636,1.74959364800247e-160,1.48485921554962e-159
E745S_01654,1401.08014583016,-2.21829857052278,0.082293772775032,-26.9558497042903,4.87117420924154e-160,4.12208957066922e-159
E745S_00722,5375.00335229668,-1.8891728064575,0.0702432230470044,-26.8947341040051,2.53088465214571e-159,2.13547977460758e-158
E745S_02081,1599.2799608615,-2.23212056409209,0.083245259881926,-26.8137857609923,2.23177607634077e-158,1.86686786155977e-157
E745S_01395,2834.9333141376,-2.07003528461835,0.0772521088384881,-26.7958417671962,3.61268299553927e-158,3.01332957020482e-157
E745S_00680,852.732816654871,-2.38144138653129,0.0890503352929344,-26.7426436823337,1.503686617663e-157,1.25063764114772e-156
E745S_01490,7357.37245950932,-2.55940971998347,0.0965155008529085,-26.5181208962906,5.99115845266858e-155,4.94058420841877e-154
E745S_01913,719.283341702646,-2.66816150486327,0.100865359955882,-26.4527039414752,3.39654133170588e-154,2.79303158660899e-153
E745S_02099,39353.9213785423,-1.74693739406894,0.0663295032986497,-26.3372603018498,7.1826371476075e-153,5.85676659290909e-152
E745S_01260,3902.23781867289,-1.59422691416754,0.0607776883253933,-26.2304631533914,1.19433488800312e-151,9.65752460826971e-151
E745S_01798,1576.53099690461,-2.28584974962586,0.0872977050267905,-26.1845342775548,3.9869153984763e-151,3.19722058538967e-150
E745S_00159,24269.5296713938,-1.38479192429327,0.0533028293740726,-25.979707654447,8.39797567858601e-149,6.69767320557914e-148
E745S_01034,3292.18927949661,-1.59908882445575,0.0618443862206275,-25.8566528375115,2.0480973114377e-147,1.62452623258724e-146
E745S_00516,2801.30394842976,-1.71035462288736,0.0665635443459146,-25.6950653648949,1.3271677996381e-145,1.04983300672459e-144
E745S_00689,7712.58798386095,-1.5592773716304,0.060739247843054,-25.6716608618444,2.42313480737167e-145,1.90641768223214e-144
E745S_02001,972.617288830605,-2.16869954107187,0.0852570534209398,-25.4371861805304,9.78553113012504e-143,7.636911828363e-142
E745S_01676,5543.59159543879,-1.44924964297009,0.0574519733865669,-25.225411026681,2.10859883461315e-140,1.632481704138e-139
E745S_01417,5879.83332322699,-1.38474446289408,0.0550027431891929,-25.1759163744065,7.35425928378122e-140,5.67858057694619e-139
E745S_00660,2151.89910877776,-2.13629987593125,0.0852543148754995,-25.0579677879176,1.42946247775604e-138,1.09793278964323e-137
E745S_00281,847.158985873285,-2.45182234353065,0.0978756389204627,-25.0503840442165,1.72910627274871e-138,1.32458641051882e-137
E745S_00097,1001.53740556041,-2.90182670222491,0.116034370113816,-25.008337610473,4.96133369864828e-138,3.78074408292282e-137
E745S_01482,32808.0356469727,-2.12273335252314,0.0849567228525637,-24.9860550318895,8.66736791585313e-138,6.57049687579387e-137
E745S_00426,3814.58903236375,-1.70209475415115,0.0693149750957097,-24.555945548576,3.7366502206347e-133,2.76778340770168e-132
E745S_01282,674.96029664547,-2.49340494913156,0.10163465699753,-24.5330187830727,6.56561478358707e-133,4.82639005934898e-132
E745S_01422,4158.87877796109,-1.50669958168998,0.0615735582616473,-24.4699124791115,3.08954891568147e-132,2.25971781244943e-131
E745S_00340,2345.65635565984,-1.66897433171583,0.0685352195119316,-24.3520680841369,5.5121229569677e-131,4.01144748193324e-130
E745S_00106,4223.14679529565,-1.94861403886707,0.0802333350818847,-24.2868383431693,2.70037213863257e-130,1.95541873023866e-129
E745S_00575,3355.51444081608,-1.56778232182116,0.064780553883353,-24.2014343477857,2.14869652766558e-129,1.55207334789938e-128
E745S_00116,1160.69241409142,-2.14693384318152,0.0893029091479576,-24.041029163165,1.03612641309556e-127,7.44731849017575e-127
E745S_00903,4398.14268895478,-1.48342388444991,0.0618255688073558,-23.99369570011,3.23580624289736e-127,2.32005713622517e-126
E745S_02275,1648.14176620681,-1.84564785739536,0.0769352865891942,-23.9896143787757,3.56928502868339e-127,2.55287192100672e-126
E745S_00879,3099.61842651393,-1.66549658857912,0.0695229059122103,-23.9560842103207,7.98506423438116e-127,5.69718676134401e-126
E745S_01825,4482.10307082635,-1.78504701052764,0.0745429374293393,-23.9465611644258,1.00347954358541e-126,7.14212457549422e-126
E745S_01002,6649.91509694369,-1.85762169985474,0.0777779250191067,-23.8836623553328,4.52820911750789e-126,3.19942153909356e-125
E745S_00808,40445.1181039189,-1.4026089719752,0.0588403988549143,-23.8375163879103,1.36443259125376e-125,9.57075487503542e-125
E745S_00692,4963.45558759411,-1.47641738156603,0.0622965376040137,-23.6998304938043,3.62022816818125e-124,2.50916290418467e-123
E745S_01634,1115.56857438202,-2.0496591978826,0.0865542797143779,-23.6806222020021,5.71099795231829e-124,3.94886342973837e-123
E745S_01976,3351.43856835882,-1.64763028840542,0.0696112025674819,-23.6690392872927,7.51653188574439e-124,5.18498206620899e-123
E745S_00724,3472.00542995417,-1.3977893058259,0.0591342454507465,-23.6375605230329,1.58474344499188e-123,1.09058821947314e-122
E745S_00413,2028.12265361992,-1.75547408696252,0.0746444866717803,-23.5177997094618,2.68204859309762e-122,1.83704551870757e-121
E745S_02708,373.700318340275,-3.3766393531878,0.14404603039628,-23.4413912268075,1.61814207844774e-121,1.10056345569191e-120
E745S_02490,4584.14405885748,-1.64583172542358,0.0707400949057449,-23.2658964851052,9.82197888943808e-120,6.66475071029237e-119
E745S_00708,5399.26539916414,-1.34047002236876,0.0578204432902172,-23.183323165486,6.70808167526023e-119,4.53067882985673e-118
E745S_00503,1968.76649341702,-2.03721134511458,0.0883289350065187,-23.063918352058,1.06647529104056e-117,7.18636475050714e-117
E745S_00887,3046.19164778942,-1.4423252422008,0.0629850739253704,-22.8994768492259,4.70227954349533e-116,3.132342277143e-115
E745S_00993,1872.24554753028,-1.71849570046936,0.0750814529797658,-22.8884182746502,6.0599590089567e-116,4.02752070207145e-115
E745S_00234,382.085678026347,-3.02288695817556,0.132968766904037,-22.7338120715008,2.07513175416122e-114,1.37288830371894e-113
E745S_01050,1145.69615906978,-1.74579998354193,0.0768310689717987,-22.7225783384939,2.68006083297426e-114,1.76908323918097e-113
E745S_00891,3010.42765896836,-1.4317586282442,0.0633148329969621,-22.6133207729206,3.20496358261738e-113,2.10601557313752e-112
E745S_00892,2671.214699457,-1.53913428269598,0.0680676827597342,-22.6118213562349,3.31571221301658e-113,2.17388248920975e-112
E745S_01767,1641.27330025011,-1.73605552668733,0.07700223996697,-22.5455198112679,1.48588886795344e-112,9.6982567143777e-112
E745S_01081,564.250949073532,-2.41448440844503,0.107154254283938,-22.5327909244472,1.98074702503623e-112,1.28992272704261e-111
E745S_02493,42832.2562517955,-1.42919861691684,0.0634311973757044,-22.5314778223666,2.04034538718255e-112,1.32576906743044e-111
E745S_00719,1923.7761088869,-1.73827554880163,0.0778320556876292,-22.3336713060493,1.74027216897867e-110,1.11830734743861e-109
E745S_00114,756.695363834776,-2.13713312105252,0.0957573404055428,-22.3182171936013,2.45900950135595e-110,1.5766908939311e-109
